epoch,loss,acc,GAcc,acc_C1,acc_C2,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.29538071155548096,38.2,10.4,18.4,26.8,19,172,0.900523560209424,0.8990132294305841,-259.74651979213314,0.8578006938028281
2,0.2842378318309784,41.8,12.4,21.2,28.4,20,189,0.9043062200956937,0.9031781925890804,-269.51245946265396,0.8237495721047082
3,0.23353934288024902,53.2,10.8,21.2,26.4,21,245,0.9210526315789473,0.9152477464193621,-317.83914397213545,0.8218555005965592
4,0.18759673833847046,59.8,15.0,29.2,27.2,41,258,0.862876254180602,0.8541879028095821,-334.70432789097373,0.8084422711664384
5,0.16316352784633636,64.8,17.8,34.6,30.6,60,264,0.8148148148148148,0.8026285018022901,-343.12554481976434,0.7601984793310876
6,0.1378737986087799,67.2,21.2,34.6,35.4,63,273,0.8125,0.7981565817309244,-333.01502016172356,0.7143373234666145
7,0.1386939138174057,69.6,21.4,36.4,34.4,71,277,0.7959770114942529,0.7789681892881367,-324.01724801000506,0.6695012184742107
8,0.09686329215765,70.0,21.6,37.8,34.2,73,277,0.7914285714285715,0.7710414541455083,-308.87723998114586,0.6348575543751138
9,0.08983407914638519,71.2,23.4,38.4,35.4,76,280,0.7865168539325843,0.7638737175816251,-292.0346630577135,0.6012419253411079
10,0.08247173577547073,71.0,22.8,37.8,35.0,71,284,0.8,0.7749182320622806,-275.401903628959,0.5777022707723932
