epoch,loss,acc,GAcc,acc_C1,acc_C2,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.4800596833229065,38.0,26.8,40.0,56.0,45,145,0.7631578947368421,0.7623639557007633,-259.28856117395947,0.8507636601075127
2,0.4622335135936737,40.0,28.6,42.8,58.8,44,156,0.78,0.7792995103170065,-259.7574513093679,0.8095513609254217
3,0.41459017992019653,45.8,30.6,46.4,59.0,63,166,0.7248908296943232,0.7255741873872986,-283.8916889665334,0.80912010688954
4,0.3822338581085205,59.2,39.4,60.6,63.2,111,185,0.625,0.6182912729503593,-332.19306610131093,0.7803929918343876
5,0.36215493083000183,64.4,44.2,67.0,65.4,135,187,0.5807453416149069,0.5668281902864407,-331.09082630062943,0.7216488972586201
6,0.34480589628219604,67.6,48.6,70.4,67.2,147,191,0.5650887573964497,0.5522928984461828,-321.8576963123172,0.6691302613809317
7,0.33072206377983093,68.4,48.2,71.4,66.6,149,193,0.564327485380117,0.5493071762015783,-305.75593945651366,0.6314197311323179
8,0.29399192333221436,68.8,51.8,74.2,67.8,164,180,0.5232558139534884,0.5076494014832198,-293.94223259579695,0.6021584309723722
9,0.2973712682723999,70.0,50.4,74.4,66.6,164,186,0.5314285714285715,0.5161099074720893,-287.2635858349633,0.5800373346115183
10,0.2871827483177185,69.4,52.0,76.0,66.4,170,177,0.5100864553314121,0.48642804387718647,-274.69880619919275,0.5607997195288735
11,0.2821846008300781,70.4,52.2,76.6,65.6,165,187,0.53125,0.5067754110752255,-267.17442721937044,0.545150079256213
12,0.2791094183921814,69.0,53.0,75.8,66.8,170,175,0.5072463768115942,0.4876110622428237,-263.3527247766804,0.5392925512011099
13,0.26284128427505493,70.8,52.8,75.4,66.8,178,176,0.4971751412429379,0.47852198499210846,-265.7144542543091,0.536525725547303
14,0.2718318700790405,71.0,52.4,75.8,66.2,173,182,0.5126760563380282,0.48080370568937264,-255.28426211080213,0.5227699888503985
15,0.260408878326416,71.4,51.6,75.6,66.0,165,192,0.5378151260504201,0.5054971328329468,-253.99570859649887,0.5170278424172335
16,0.2636728286743164,73.2,52.4,76.6,65.4,175,191,0.5218579234972678,0.4891662666585063,-251.28807137619867,0.5068734248696541
17,0.268751323223114,71.6,51.8,76.4,64.2,173,185,0.5167597765363129,0.48605042205672994,-247.50110902744498,0.5039654870001231
18,0.2523249685764313,72.0,53.2,75.6,66.2,177,183,0.5083333333333333,0.4733257217030193,-243.8813408042787,0.5012583323634237
19,0.25327789783477783,72.8,50.8,75.0,64.4,165,199,0.5467032967032966,0.5119170411975061,-243.34469498241998,0.4945020165197179
20,0.24970461428165436,72.8,49.2,74.2,63.8,165,199,0.5467032967032966,0.5119683798104785,-237.0464616373566,0.48210056955912406
