epoch,loss,acc,GAcc,acc_C1,acc_C2,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.2547726333141327,42.2,3.6,39.6,10.4,9,202,0.957345971563981,0.9520843959122315,-260.2980199914954,0.8610554014875839
2,0.24360255897045135,51.8,1.6,42.8,3.0,3,256,0.9884169884169884,0.9854365562990559,-264.8104657290633,0.7987368921930783
3,0.18961627781391144,58.8,4.4,42.8,14.8,11,283,0.9625850340136054,0.9538084299136881,-292.9124790525311,0.7642469009482602
4,0.14280231297016144,63.0,7.4,42.8,25.8,25,290,0.9206349206349206,0.9043466588017669,-293.38066590291703,0.6974569374753838
5,0.12083598971366882,62.8,9.0,43.4,28.6,27,287,0.9140127388535032,0.8969258776320567,-258.5892708060709,0.6133694699934802
6,0.10110747069120407,65.0,10.0,43.2,30.6,31,294,0.9046153846153846,0.8885855153768925,-239.55649707808988,0.5527822985874312
7,0.08335107564926147,70.8,10.4,42.6,33.8,32,322,0.9096045197740112,0.8941604672038007,-237.11190933721105,0.5135121587877112
8,0.06426592916250229,70.8,9.4,43.2,34.4,31,323,0.9124293785310734,0.8997126227313504,-218.1835362124777,0.47399680287007717
9,0.052554383873939514,72.8,10.2,43.4,36.6,33,331,0.9093406593406593,0.8930956283671008,-206.65605766003947,0.4428000731948243
10,0.051234010607004166,73.0,10.6,43.8,38.8,34,331,0.9068493150684932,0.891310837960512,-188.39947599783193,0.40157882467663336
11,0.04759185388684273,76.0,10.4,44.0,39.0,38,342,0.9,0.8844790342440828,-181.35684217876607,0.375326132672659
12,0.03283161669969559,74.8,11.4,43.8,39.4,40,334,0.893048128342246,0.8747398325966774,-164.08516659660265,0.3447033001287867
13,0.029090167954564095,74.2,10.4,43.4,38.6,34,337,0.9083557951482479,0.8953400706244182,-151.64465828814974,0.32475586535473694
14,0.030867377296090126,74.4,10.4,43.8,38.0,36,336,0.9032258064516129,0.8862627517227635,-141.502317444773,0.30258628825373307
15,0.026737362146377563,76.2,10.6,43.4,39.2,38,343,0.9002624671916011,0.8846174726022873,-140.13635805344558,0.2923463086302836
16,0.02888779528439045,75.2,10.4,43.4,39.0,37,339,0.901595744680851,0.8857984519873354,-132.81507695134843,0.2793980245499149
17,0.021724147722125053,75.8,10.8,42.6,39.4,38,341,0.899736147757256,0.8833797209637297,-126.9534774143504,0.2676858517512688
18,0.01581675000488758,74.8,10.6,43.4,38.4,35,339,0.9064171122994652,0.8921974322838407,-126.9726152129293,0.2711544335409074
19,0.02397070825099945,74.6,10.4,42.6,38.8,34,339,0.9088471849865952,0.8906617700997691,-118.6925062176941,0.25450728154545144
20,0.025160618126392365,74.4,10.2,43.0,39.0,36,336,0.9032258064516129,0.888168771014866,-116.40222369249096,0.2490314794695875
