epoch,loss,acc,f1_macro,f1_weighted,GAcc,acc_C1,acc_C2,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.2547725737094879,42.2,0.15468692303634543,0.37844025953473653,3.6,39.6,10.4,9,202,0.957345971563981,0.9520843959122315,-260.29801798329686,0.8610553948445439
2,0.24360255897045135,51.8,0.18607198591492935,0.45804885758873193,1.6,42.8,3.0,3,256,0.9884169884169884,0.9854365562990559,-264.81046477700676,0.7987368893214294
3,0.18961627781391144,58.8,0.21397853717738158,0.5258444703880325,4.4,42.8,14.8,11,283,0.9625850340136054,0.9538084299136881,-292.9124802063876,0.7642469039588223
4,0.14280229806900024,63.0,0.23076786170787666,0.566630139114058,7.4,42.8,25.8,25,290,0.9206349206349206,0.9043466588017669,-293.3806744607588,0.697456957820031
5,0.12083596736192703,62.8,0.23020727313849979,0.5650881597440992,9.0,43.4,28.6,27,287,0.9140127388535032,0.8969258776320567,-258.5893061239222,0.6133695537668389
6,0.10110750049352646,65.0,0.26235486635234034,0.5954278443471166,10.0,43.2,30.6,31,294,0.9046153846153846,0.8885855153768925,-239.5564705105923,0.5527822372823005
7,0.08335117250680923,70.8,0.4137316594715698,0.691797255061829,10.4,42.6,33.8,32,322,0.9096045197740112,0.8941604672038007,-237.11188304992655,0.5135121018574614
8,0.06426599621772766,70.8,0.4386825966138493,0.6986825075330941,9.4,43.2,34.4,31,323,0.9124293785310734,0.8997126227313504,-218.18360625252149,0.47399695502984784
9,0.052554357796907425,72.8,0.4608718199476764,0.7223450756766397,10.2,43.4,36.6,33,331,0.9093406593406593,0.8930956283671008,-206.65610066393913,0.4428001653388927
10,0.05123395845293999,73.0,0.472382143646882,0.7256742595620637,10.6,43.8,38.8,34,331,0.9068493150684932,0.891310837960512,-188.39950071402916,0.4015788773599085
11,0.04759199917316437,76.0,0.49793713462802147,0.755804715764076,10.4,44.0,39.0,38,342,0.9,0.8844790342440828,-181.35684251496886,0.3753261333684458
12,0.03283156827092171,74.8,0.4889732485308305,0.7437430616895525,11.4,43.8,39.4,40,334,0.893048128342246,0.8747398325966774,-164.08520135480757,0.34470337314737937
13,0.029090097174048424,74.2,0.4875308198046584,0.7385772656471923,10.4,43.4,38.6,34,337,0.9083557951482479,0.8953400706244182,-151.6445438185596,0.32475562021144455
14,0.03086729347705841,74.4,0.4908759552675439,0.7405325260637111,10.4,43.8,38.0,36,336,0.9032258064516129,0.8862627517227635,-141.50223038943793,0.30258610209599945
15,0.026737311854958534,76.2,0.5028681434682307,0.7586321869304471,10.6,43.4,39.2,38,343,0.9002624671916011,0.8846174726022873,-140.1363901264264,0.29234637553952597
16,0.02888771891593933,75.2,0.4953784392065363,0.7487489728290033,10.4,43.4,39.0,37,339,0.901595744680851,0.8857984519873354,-132.81502643948647,0.27939791829003263
17,0.021724121645092964,75.8,0.5778636114843011,0.7568906851768922,10.8,42.6,39.4,38,341,0.899736147757256,0.8833797209637297,-126.95340965761642,0.26768570888382304
18,0.015816744416952133,74.8,0.4974972424926405,0.7446099314092871,10.6,43.4,38.4,35,339,0.9064171122994652,0.8921974322838407,-126.97265698356784,0.271154522743558
19,0.0239704642444849,74.6,0.4863760424752708,0.7428197601751457,10.4,42.6,38.8,34,339,0.9088471849865952,0.8906617700997691,-118.69244581588168,0.25450715202841984
20,0.02516031451523304,74.4,0.4941699589804794,0.7403920298967843,10.2,43.0,39.0,36,336,0.9032258064516129,0.888168771014866,-116.40236100119095,0.24903177322848333
