g_syntax,g_mistakes,y,c_syntax,c_mistake,p
2,0,2,1,3,2
2,2,3,2,3,3
4,2,4,1,1,3
2,2,3,0,3,2
4,2,4,4,3,2
3,2,4,2,2,2
4,2,4,2,3,3
3,2,4,1,1,2
2,1,3,2,3,3
4,3,5,1,3,2
4,1,3,4,3,3
3,2,4,2,3,2
3,3,4,2,3,2
2,1,3,2,3,3
4,2,4,2,1,3
3,2,4,1,3,3
3,2,4,2,1,3
2,2,3,2,3,3
2,1,3,2,1,3
3,2,4,2,2,2
3,1,3,2,1,3
3,2,4,2,3,3
4,2,4,1,3,3
3,1,3,1,2,2
4,2,4,1,3,2
4,3,5,2,3,3
3,1,3,4,3,3
2,2,3,4,1,3
3,2,4,1,1,3
2,1,3,3,1,3
2,1,3,2,1,3
2,2,3,2,1,3
3,2,4,2,1,3
3,2,4,2,1,3
4,1,3,3,1,3
3,2,4,3,1,3
