idx,g_1,g_2,y,c_1,p_c_1,c_2,p_c_2,p,pb
6,3,3,6,5,0.11987953633069992,2,0.1193857192993164,6,0.03626054525375366
42,3,7,10,5,0.1285836547613144,5,0.12506787478923798,10,0.03849712014198303
95,3,4,7,5,0.23464690148830414,2,0.2644708752632141,7,0.10896512866020203
100,6,4,10,5,0.3553158640861511,5,0.28646397590637207,10,0.13049836456775665
109,1,9,10,5,0.27044937014579773,5,0.35346072912216187,10,0.1288703829050064
127,8,2,10,5,0.2921719253063202,5,0.2644023895263672,10,0.11491455137729645
138,1,9,10,5,0.1429961621761322,5,0.1894679069519043,10,0.06018826737999916
147,4,6,10,5,0.1845552772283554,5,0.15460233390331268,10,0.06456197798252106
156,7,0,7,5,0.21420717239379883,0,0.23871947824954987,7,0.07948675006628036
162,7,6,13,5,0.2586854100227356,5,0.18789805471897125,13,0.08801664412021637
165,9,3,12,5,0.2932356297969818,5,0.15686480700969696,12,0.07459799945354462
167,2,8,10,5,0.1934557408094406,5,0.2518458962440491,10,0.07138130068778992
170,4,9,13,8,0.21662764251232147,5,0.19427216053009033,13,0.08377602696418762
176,7,1,8,5,0.1876417100429535,5,0.16326001286506653,8,0.06000232324004173
192,0,8,8,0,0.15411445498466492,5,0.1970445215702057,8,0.0623454675078392
193,8,5,13,8,0.1690734326839447,8,0.15261036157608032,13,0.057748038321733475
218,0,8,8,0,0.2648245394229889,8,0.2397807240486145,8,0.1092076227068901
221,1,9,10,3,0.18689875304698944,5,0.2005227953195572,10,0.07173614203929901
224,7,6,13,5,0.19107802212238312,5,0.20056207478046417,13,0.07335831969976425
230,2,1,3,0,0.22922028601169586,3,0.18294657766819,3,0.058668941259384155
261,4,9,13,5,0.21601340174674988,8,0.2243143916130066,13,0.08429647982120514
264,4,7,11,8,0.22368411719799042,8,0.1770099550485611,11,0.0766533762216568
273,7,4,11,3,0.19153374433517456,8,0.17964211106300354,11,0.0685059130191803
280,2,9,11,3,0.27849823236465454,8,0.20002701878547668,11,0.08212180435657501
321,2,2,4,3,0.19914686679840088,0,0.38188380002975464,4,0.11048572510480881
329,7,4,11,3,0.20270946621894836,8,0.21866375207901,11,0.08377780765295029
334,7,4,11,8,0.25973403453826904,5,0.2254764288663864,11,0.09854000061750412
342,4,4,8,3,0.3791963458061218,5,0.24540743231773376,8,0.1350429803133011
344,3,5,8,3,0.38764259219169617,5,0.21310986578464508,8,0.10998956859111786
362,5,1,6,3,0.305327445268631,3,0.4217180013656616,6,0.15027101337909698
364,1,3,4,3,0.22575512528419495,3,0.31868496537208557,4,0.11192407459020615
371,1,5,6,3,0.24836337566375732,3,0.24729971587657928,6,0.10286581516265869
383,4,9,13,8,0.2661915123462677,5,0.2498406618833542,13,0.11278200894594193
388,0,8,8,4,0.23952360451221466,4,0.2102891206741333,8,0.0966704934835434
395,6,3,9,5,0.29808124899864197,4,0.2585187256336212,9,0.10882766544818878
404,5,7,12,4,0.2548777759075165,8,0.2924462556838989,12,0.10667208582162857
410,8,1,9,8,0.25368380546569824,3,0.23695574700832367,9,0.09480494260787964
432,1,3,4,3,0.24039074778556824,0,0.2575702965259552,4,0.09133271872997284
434,9,4,13,8,0.2592923641204834,8,0.3497966527938843,13,0.09972211718559265
468,2,9,11,3,0.31313350796699524,8,0.4687970280647278,11,0.1927567571401596
481,6,2,8,8,0.30112510919570923,4,0.2800130248069763,8,0.12744218111038208
486,7,2,9,8,0.4655939042568207,4,0.22968535125255585,9,0.14147208631038666
491,8,0,8,4,0.3145858645439148,0,0.3533008396625519,8,0.1385277956724167
492,6,2,8,5,0.27010148763656616,3,0.28740450739860535,8,0.15171518921852112
494,8,4,12,4,0.3389304578304291,8,0.2633529305458069,12,0.13232716917991638
502,8,4,12,4,0.2263433337211609,8,0.2787691056728363,12,0.10421592742204666
514,0,1,1,0,0.7639690041542053,1,0.27030909061431885,1,0.21159251034259796
518,1,6,7,3,0.2997954189777374,4,0.39373213052749634,7,0.137583389878273
519,2,2,4,0,0.421407550573349,4,0.20048606395721436,4,0.11821037530899048
529,4,2,6,5,0.2872081995010376,1,0.4441852867603302,6,0.15388987958431244
530,1,6,7,3,0.2667272090911865,4,0.3043990135192871,7,0.10507780313491821
533,3,5,8,4,0.30692189931869507,4,0.18049472570419312,8,0.10327285528182983
536,8,4,12,7,0.1842518299818039,7,0.25524094700813293,12,0.09012219309806824
550,8,0,8,4,0.2908487319946289,4,0.19285733997821808,8,0.09527063369750977
551,9,2,11,8,0.6124958395957947,3,0.1980637013912201,11,0.14492659270763397
552,5,6,11,7,0.25777575373649597,4,0.33045753836631775,11,0.13019633293151855
562,1,9,10,5,0.26163503527641296,5,0.25598329305648804,10,0.12048614770174026
565,2,6,8,4,0.215622678399086,8,0.25441524386405945,8,0.10523999482393265
570,4,7,11,4,0.24213118851184845,3,0.2366723120212555,11,0.11257263273000717
572,1,7,8,1,0.2798892855644226,8,0.23296605050563812,8,0.11403218656778336
577,8,3,11,8,0.2247241735458374,4,0.2054102122783661,11,0.09906012564897537
578,7,5,12,8,0.3209264576435089,4,0.36463648080825806,12,0.14551782608032227
592,2,7,9,4,0.18497557938098907,3,0.23509280383586884,9,0.07947209477424622
595,4,8,12,4,0.18139849603176117,4,0.13476614654064178,12,0.0637507289648056
614,7,5,12,8,0.3760297894477844,7,0.21389107406139374,12,0.11923220008611679
617,9,2,11,8,0.3169231116771698,3,0.28185904026031494,11,0.14128170907497406
620,3,5,8,3,0.33692172169685364,7,0.1526881754398346,8,0.10654211789369583
640,5,2,7,7,0.19378918409347534,1,0.31274905800819397,7,0.10276435315608978
652,0,5,5,0,0.22236067056655884,4,0.23124682903289795,5,0.07341568917036057
653,1,6,7,1,0.3342999517917633,4,0.23984934389591217,7,0.1304890215396881
656,6,1,7,4,0.28442302346229553,3,0.24759593605995178,7,0.10052457451820374
659,0,6,6,4,0.17563749849796295,4,0.2766461968421936,6,0.08666965365409851
661,6,1,7,4,0.19918033480644226,1,0.37804701924324036,7,0.12463252991437912
663,0,4,4,0,0.3948197066783905,4,0.18540789186954498,4,0.10185528546571732
664,7,4,11,7,0.21794891357421875,4,0.3218954801559448,11,0.09331484138965607
665,0,3,3,0,0.8033186793327332,3,0.23891524970531464,3,0.19766423106193542
666,1,7,8,1,0.5393031239509583,7,0.3456350266933441,8,0.2149488627910614
667,0,1,1,0,0.7242559194564819,1,0.3869374096393585,1,0.2884000241756439
680,2,7,9,4,0.4417004883289337,8,0.27110543847084045,9,0.14204730093479156
690,3,7,10,1,0.1916428953409195,7,0.19424405694007874,10,0.06177879497408867
692,4,0,4,4,0.26220160722732544,0,0.6969322562217712,4,0.19404855370521545
699,9,3,12,8,0.21037636697292328,8,0.16800685226917267,12,0.07646458595991135
701,5,2,7,7,0.21727876365184784,0,0.29670828580856323,7,0.09093228727579117
703,0,0,0,0,0.7538362145423889,0,0.8332892656326294,0,0.6281636357307434
707,3,1,4,3,0.23113463819026947,1,0.7031601667404175,4,0.18795551359653473
713,2,8,10,1,0.4166371822357178,9,0.3184714615345001,10,0.17296478152275085
715,5,8,13,4,0.16447974741458893,7,0.1926376074552536,13,0.07033894211053848
716,0,1,1,0,0.9439032673835754,1,0.674918532371521,1,0.637407124042511
718,9,4,13,7,0.2481037825345993,5,0.2261268049478531,13,0.1200224906206131
720,9,0,9,9,0.2504085302352905,0,0.5010316371917725,9,0.1658707857131958
721,0,9,9,0,0.700827419757843,9,0.23388871550559998,9,0.2060384899377823
723,1,7,8,1,0.5582671165466309,7,0.2989856004714966,8,0.18579047918319702
724,1,7,8,1,0.5027672648429871,7,0.39005938172340393,8,0.20761623978614807
728,0,0,0,0,0.8787540197372437,0,0.7516931295394897,0,0.6605533361434937
730,3,3,6,3,0.30974337458610535,3,0.24313139915466309,6,0.11296287178993225
744,6,5,11,4,0.39786913990974426,7,0.2687866687774658,11,0.1456906497478485
745,9,5,14,7,0.3242362141609192,7,0.2915259003639221,14,0.1285276561975479
749,3,7,10,3,0.2768036127090454,7,0.3088247776031494,10,0.10993605852127075
751,3,0,3,3,0.2946469485759735,0,0.9434607028961182,3,0.2794841527938843
757,1,0,1,1,0.43825292587280273,0,0.7326121926307678,1,0.32865244150161743
758,5,9,14,7,0.23703457415103912,8,0.19404563307762146,14,0.0868615210056305
762,1,1,2,1,0.3396431803703308,1,0.5750224590301514,2,0.19774678349494934
764,1,4,5,1,0.5544432401657104,4,0.3841303884983063,5,0.2207135558128357
765,4,7,11,4,0.21388164162635803,7,0.27187037467956543,11,0.09299412369728088
777,6,4,10,4,0.2959330081939697,4,0.19007666409015656,10,0.10530198365449905
781,1,1,2,1,0.8080664277076721,1,0.7252116203308105,2,0.5862234234809875
797,9,5,14,7,0.27218255400657654,7,0.26887133717536926,14,0.11053790152072906
798,6,6,12,6,0.3471587598323822,6,0.45327430963516235,12,0.17191557586193085
804,1,9,10,1,0.32611650228500366,7,0.25751176476478577,10,0.11447182297706604
809,1,4,5,1,0.6930443644523621,4,0.26102766394615173,5,0.18359103798866272
810,9,1,10,7,0.2642573416233063,1,0.5004851222038269,10,0.15989357233047485
816,4,1,5,4,0.43325021862983704,1,0.7030546069145203,5,0.30892953276634216
820,7,6,13,7,0.4738008379936218,6,0.38765987753868103,13,0.2037225365638733
821,7,1,8,7,0.48824286460876465,1,0.6611118912696838,8,0.3269169330596924
825,1,9,10,1,0.3596537113189697,7,0.35777679085731506,10,0.15066689252853394
830,8,7,15,7,0.2477174550294876,8,0.43485864996910095,15,0.13853856921195984
832,1,0,1,1,0.5610488057136536,0,0.6765055656433105,1,0.38218361139297485
838,9,1,10,7,0.2554033696651459,1,0.886481523513794,10,0.23662278056144714
842,0,8,8,0,0.6739394664764404,8,0.2739831507205963,8,0.228276789188385
844,8,8,16,7,0.31051188707351685,7,0.22929060459136963,16,0.1270240843296051
848,0,1,1,0,0.3925583064556122,1,0.7344274520874023,1,0.28883659839630127
849,7,2,9,8,0.4451438784599304,1,0.8413047790527344,9,0.3857259154319763
854,3,0,3,3,0.2408009171485901,0,0.9144411087036133,3,0.22393172979354858
860,0,6,6,0,0.8229072690010071,6,0.3038659393787384,6,0.26850247383117676
861,4,6,10,4,0.68961101770401,4,0.3062931001186371,10,0.22386808693408966
864,1,0,1,1,0.5107633471488953,0,0.6386082172393799,1,0.3283192813396454
869,6,6,12,6,0.49210697412490845,6,0.4526868462562561,12,0.239609032869339
870,0,0,0,0,0.7358760237693787,0,0.9697635769844055,0,0.7136257886886597
872,7,9,16,7,0.4098537564277649,9,0.4094945192337036,16,0.2092118263244629
876,1,8,9,1,0.6657618284225464,6,0.1972777396440506,9,0.14625582098960876
878,2,1,3,2,0.18449224531650543,1,0.7479426860809326,3,0.15813171863555908
879,4,7,11,4,0.4773903787136078,7,0.41061893105506897,11,0.20611067116260529
883,7,9,16,7,0.4287887215614319,9,0.5300571322441101,16,0.27603253722190857
891,0,6,6,0,0.9014602899551392,6,0.40912926197052,6,0.37157994508743286
895,4,7,11,4,0.5043638944625854,7,0.44630053639411926,11,0.23517706990242004
900,4,1,5,4,0.4309009909629822,1,0.756275475025177,5,0.3263768255710602
902,9,4,13,7,0.31033453345298767,6,0.6820816993713379,13,0.22457148134708405
907,0,1,1,0,0.8328580856323242,1,0.7758995294570923,1,0.6463719010353088
910,0,9,9,0,0.990233302116394,9,0.43085697293281555,9,0.427786648273468
915,3,1,4,3,0.4279935657978058,1,0.8771983981132507,4,0.3793736398220062
916,4,6,10,4,0.3711682856082916,6,0.7251111268997192,10,0.2875198423862457
919,9,7,16,9,0.3394245207309723,8,0.384304940700531,16,0.2247794270515442
921,3,1,4,3,0.3106425702571869,1,0.7908605337142944,4,0.25909140706062317
927,0,7,7,0,0.7774810194969177,7,0.4823044240474701,7,0.37969860434532166
930,4,3,7,4,0.5272870063781738,1,0.33809947967529297,7,0.19421233236789703
941,4,1,5,4,0.25432977080345154,1,0.9237285256385803,5,0.23558098077774048
943,7,1,8,7,0.3785383403301239,1,0.9451892971992493,8,0.35916459560394287
945,0,1,1,0,0.9053187966346741,1,0.9189455509185791,1,0.8319822549819946
946,0,4,4,0,0.9168919920921326,4,0.42968910932540894,4,0.39509642124176025
947,8,6,14,8,0.48286083340644836,6,0.3860110938549042,14,0.2052222341299057
948,8,8,16,8,0.3803897202014923,8,0.6291946172714233,16,0.2792832851409912
954,7,7,14,7,0.47070711851119995,7,0.4077369272708893,14,0.1948869228363037
955,1,6,7,1,0.7511672973632812,6,0.49293383955955505,7,0.3840133845806122
965,1,7,8,1,0.8050719499588013,7,0.5284695029258728,8,0.4275069534778595
969,1,1,2,1,0.9069179892539978,1,0.9437611699104309,2,0.8559178709983826
972,1,1,2,1,0.8729912638664246,1,0.8836915493011475,2,0.771510899066925
973,6,8,14,6,0.6789085865020752,8,0.34641188383102417,14,0.23703831434249878
974,4,0,4,4,0.48429542779922485,0,0.5553123354911804,4,0.2851000428199768
975,4,0,4,4,0.42997613549232483,0,0.9513338804244995,4,0.40943485498428345
