epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.023339664563536644,82.02666473388672,87.01333333333334,24220,388,0.015767230169050715,0.016108801273114447,-4846.627282867988,0.09506942057061188
2,0.002561484230682254,96.49666595458984,98.22833333333334,28947,2,6.90870150955128e-05,7.120242184401916e-05,-1392.453197221796,0.023183020882970015
3,0.019444633275270462,97.69000244140625,98.83166666666666,29307,0,0.0,-0.0,-977.2350950513883,0.016067095422261778
4,0.013192269951105118,97.86333465576172,98.92833333333333,29358,1,3.406110562348854e-05,3.4128209332624107e-05,-797.4906618412105,0.013088575803935857
5,0.0004902558284811676,98.6433334350586,99.31833333333333,29593,0,0.0,-0.0,-542.1912678986733,0.008829958866069933
6,0.009095500223338604,98.52666473388672,99.26,29558,0,0.0,-0.0,-472.170737150547,0.007696865851037205
7,0.0018288176506757736,98.77666473388672,99.38666666666667,29633,0,0.0,-0.0,-391.31574863978744,0.006363266304192682
8,0.021811634302139282,98.51333618164062,99.255,29554,0,0.0,-0.0,-349.29761922718654,0.0056943777074346434
9,0.00021992043184582144,99.1066665649414,99.54833333333333,29731,1,3.36337952374546e-05,3.3699213948339836e-05,-297.31684384314644,0.00481828593412701
10,0.005722227040678263,98.77333068847656,99.38166666666666,29631,1,3.3747300215982723e-05,3.380582656763931e-05,-307.1330705777902,0.004993113347515261
11,0.0019161613890901208,98.98999786376953,99.49166666666666,29697,0,0.0,-0.0,-235.53050372129363,0.0038212389718531967
12,0.041382353752851486,99.1933364868164,99.595,29758,0,0.0,-0.0,-183.6919098627189,0.002974484212338898
13,0.006998117547482252,99.1066665649414,99.54666666666667,29730,2,6.72675904749092e-05,6.930993539230683e-05,-175.58676294516977,0.002845652865291709
14,0.024218596518039703,99.18333435058594,99.58833333333334,29754,1,3.360779700890607e-05,3.367318147693375e-05,-167.37045616216187,0.0027102929470538585
15,5.768613482359797e-05,99.01000213623047,99.505,29703,0,0.0,-0.0,-191.46183746269938,0.0031057696956824504
16,6.372174539137632e-07,99.08000183105469,99.53833333333333,29724,0,0.0,-0.0,-156.26315976048423,0.0025331999096836096
17,0.0004127788415644318,99.16999816894531,99.585,29751,0,0.0,-0.0,-147.29864904525735,0.0023851232096488255
18,3.2248517527477816e-05,99.27999877929688,99.635,29783,1,3.3575073865162504e-05,3.554724985153519e-05,-140.00563179741408,0.002265046197579996
19,1.8561646584203118e-06,99.25,99.62,29774,1,3.358522250209908e-05,3.364682368692378e-05,-129.6195829444258,0.002097335830936852
20,1.5623354556737468e-06,99.30333709716797,99.65166666666667,29791,0,0.0,-0.0,-119.07162232845101,0.001925836281889324
