epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,30.649633407592773,89.35333251953125,93.58333333333333,26727,79,0.0029471013952100276,0.0032627034877574937,-2908.9839935883906,0.06027349528225438
2,23.37039566040039,96.1866683959961,98.08333333333333,28856,0,0.0,-0.0,-1212.4082374276436,0.023307557819750323
3,11.110257148742676,97.11333465576172,98.54666666666667,29134,0,0.0,-0.0,-842.9391861283592,0.016053605200169845
4,5.619110584259033,97.47333526611328,98.725,29242,0,0.0,-0.0,-683.2800716725308,0.012966358008697835
5,0.857338547706604,97.61666870117188,98.80166666666666,29284,1,3.414717432132491e-05,3.3942873662249914e-05,-597.2156000444605,0.011313579757537075
6,4.47899055480957,98.04666900634766,99.01166666666667,29413,1,3.3997416196369076e-05,3.379126967351637e-05,-494.8834923253142,0.009333139761968682
7,0.21633128821849823,98.36333465576172,99.18,29509,0,0.0,-0.0,-423.66111297860806,0.007965363664965449
8,0.6215916872024536,98.1866683959961,99.09,29455,1,3.3948940793047254e-05,3.3753517718143326e-05,-387.41152639771684,0.007298134624125661
9,5.792600631713867,98.24333190917969,99.115,29472,1,3.392935907440708e-05,3.371975124815974e-05,-368.5351196611241,0.006935591955619906
10,1.3856351375579834,98.7300033569336,99.35833333333333,29618,1,3.376211215773659e-05,3.64493747640367e-05,-308.1069289357731,0.005771235082785516
