epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.07205291837453842,76.61333465576172,77.43,21413,1571,0.06835189697180648,0.0712687352060455,-5662.848657810268,0.11828447526446516
2,0.01891300454735756,96.93000030517578,98.44833333333334,29077,2,6.877815605763609e-05,6.8873360524592e-05,-1306.5392491364503,0.021636998910921836
3,0.12676139175891876,97.88999938964844,98.93833333333333,29366,1,3.405182688051214e-05,3.7765128395345064e-05,-871.6215083680695,0.0142956272390623
4,0.1791599839925766,98.37999725341797,99.18333333333334,29513,1,3.388222538456326e-05,3.3939580024042435e-05,-654.316556165068,0.010679419773965136
5,0.0063660629093647,98.6866683959961,99.33833333333334,29605,1,3.377693710734311e-05,3.383261530787849e-05,-484.60480685577545,0.007884543844139745
6,0.10706073045730591,98.71333312988281,99.35166666666667,29614,0,0.0,-0.0,-413.1558862430706,0.006722530842966134
7,0.02748253010213375,98.76667022705078,99.38166666666666,29630,0,0.0,-0.0,-364.4620072143153,0.0059259005312894955
8,0.09924867004156113,98.94000244140625,99.47,29682,0,0.0,-0.0,-295.0692158608882,0.004789171308392166
9,0.010510084219276905,99.2300033569336,99.615,29769,0,0.0,-0.0,-277.47739049384427,0.004490137092927101
10,0.009388059377670288,99.08333587646484,99.54166666666667,29725,0,0.0,-0.0,-231.95940335172642,0.003759659485744942
11,0.0014940534019842744,99.0633316040039,99.53166666666667,29719,0,0.0,-0.0,-217.80308978191653,0.0035307088255720465
12,0.0002788983110804111,99.13999938964844,99.57,29742,0,0.0,-0.0,-199.86031726394876,0.0032369784858395294
13,0.0007733285892754793,99.15333557128906,99.57666666666667,29746,0,0.0,-0.0,-161.42661784183758,0.0026144249532831644
14,0.0010515216272324324,99.31666564941406,99.65833333333333,29795,0,0.0,-0.0,-148.2763974092319,0.0023973360799220103
15,0.12835220992565155,99.34333038330078,99.66666666666667,29802,1,3.35536690937154e-05,3.551348029627167e-05,-132.90779510971396,0.002148172932132409
16,1.3907933862356003e-06,99.26000213623047,99.62833333333333,29778,0,0.0,-0.0,-139.64913615123348,0.0022593306236314186
17,7.20232492312789e-07,99.47000122070312,99.735,29841,0,0.0,-0.0,-97.27002111190104,0.0015701988087110951
18,0.00010820955503731966,99.3566665649414,99.675,29806,1,3.3549166303217366e-05,3.550406117097691e-05,-125.31780725050272,0.0020249596424178865
19,0.00039224777719937265,99.24333190917969,99.62,29773,0,0.0,-0.0,-102.28562316964432,0.0016549970691841537
20,0.0016183758853003383,99.36000061035156,99.68,29808,0,0.0,-0.0,-109.42395622011477,0.0017683676636255715
