epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.0759349912405014,89.586669921875,93.61666666666666,26769,107,0.003981247209406162,0.004403697138442841,-2831.5423213259705,0.05847455979501372
2,0.08758597075939178,96.31666564941406,98.13666666666667,28895,0,0.0,-0.0,-1211.4347242792117,0.023241748411869875
3,0.036965612322092056,97.02999877929688,98.49833333333333,29108,1,3.435363633240578e-05,3.707081239590434e-05,-891.5873426797359,0.01698529972264606
4,0.036430925130844116,97.55000305175781,98.76833333333333,29265,0,0.0,-0.0,-715.1849668658555,0.013555051069987825
5,0.00644072238355875,97.83000183105469,98.90666666666667,29348,1,3.407271116562745e-05,3.676072355782068e-05,-580.5476204827121,0.010967284691472635
6,0.050096988677978516,97.89666748046875,98.94833333333334,29369,0,0.0,-0.0,-514.3710711214331,0.009714009879854924
7,0.020552217960357666,97.97000122070312,98.975,29391,0,0.0,-0.0,-464.7910633653529,0.008772353442274701
8,0.034570544958114624,98.2699966430664,99.13,29480,1,3.392015196228079e-05,3.370966478538684e-05,-396.3477125172209,0.007456775731826667
9,0.006819363683462143,98.41000366210938,99.20166666666667,29523,0,0.0,-0.0,-371.30285067521953,0.006975610618392851
10,0.014298933558166027,98.48999786376953,99.24333333333334,29547,0,0.0,-0.0,-332.8046077497197,0.006247481430933556
