epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.14644479751586914,61.11666488647461,73.675,3553,114,0.031088082901554404,0.033863159336178845,-1463.3866628122387,0.22203285300678177
2,0.09832877665758133,90.0999984741211,94.85833333333333,5402,4,0.0007399186089530152,0.0008027424978579137,-733.3395635355334,0.07516365770580785
3,0.04493186995387077,94.03333282470703,96.95,5641,1,0.0001772421127259837,0.00022584643012225038,-481.01033980376377,0.04717935003883549
4,0.0717151090502739,94.94999694824219,97.425,5697,0,0.0,-0.0,-336.42644603814557,0.032658533692995484
5,0.0343867726624012,96.26667022705078,98.075,5775,1,0.00017313019390581717,0.00013283071006728564,-272.39782114465,0.026100370179819365
6,0.16035360097885132,97.11666870117188,98.53333333333333,5826,1,0.00017161489617298782,0.00019772014213604165,-200.6781560681303,0.019081139212663942
7,0.04115014523267746,96.96666717529297,98.45,5817,1,0.00017188037126160193,0.00013175962906830383,-210.45294075368864,0.02000239068103779
8,0.007035077083855867,97.56666564941406,98.78333333333333,5854,0,0.0,-0.0,-140.84246090051334,0.013319411087281857
9,0.025646187365055084,97.13333129882812,98.50833333333334,5825,3,0.0005147563486616335,0.0005134547318671688,-128.64992227435465,0.01220625124281138
10,0.024737531319260597,97.05000305175781,98.45833333333333,5820,3,0.0005151983513652757,0.0005140720305218498,-143.09841682377996,0.013593441440215074
11,0.01329596433788538,97.51667022705078,98.70833333333333,5849,2,0.0003418219107844813,0.00040452638447840863,-100.34822004743623,0.009491856861150666
12,0.10200875252485275,98.16666412353516,99.04166666666667,5888,2,0.00033955857385398983,0.0003367402183639897,-96.56864130079764,0.009074472862351992
13,0.046530384570360184,97.43333435058594,98.66666666666667,5843,3,0.0005131713992473486,0.0005120591600052242,-85.02390241797812,0.008045106356797305
14,0.0056924778036773205,97.83333587646484,98.875,5868,2,0.00034071550255536625,0.00041274088873303143,-92.52420052583496,0.008714807995955597
15,0.038407102227211,98.0999984741211,99.025,5885,1,0.00016989466530750936,0.0001303338075916783,-77.15445239113396,0.007253750599305582
16,0.005390016362071037,98.78333282470703,99.35,5926,1,0.00016871941960519654,0.00021488839711561285,-60.014618210152236,0.005600854947738704
17,0.05387234687805176,98.48332977294922,99.19166666666666,5906,3,0.000507700118463361,0.0005398868317620326,-63.57176521381509,0.005950008492216975
18,0.020216988399624825,98.03333282470703,98.98333333333333,5880,2,0.00034002040122407346,0.0003259878340257068,-57.17057734654845,0.005377476299952633
19,0.0021929361391812563,98.01667022705078,98.975,5881,0,0.0,-0.0,-62.68215460914683,0.00589381717410377
20,0.007871600799262524,97.8499984741211,98.89166666666667,5869,2,0.00034065746891500596,0.00032625247716505445,-53.441584414990835,0.005030807247872305
