epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.01750277169048786,80.52999877929688,83.19166666666666,23193,966,0.03998509872097355,0.04148714760293574,-5065.6649896821355,0.1008912100855216
2,0.006538126152008772,96.88666534423828,98.42666666666666,29066,0,0.0,-0.0,-1348.7468397112232,0.022350403812345314
3,0.013561736792325974,97.9566650390625,98.97333333333333,29387,0,0.0,-0.0,-890.8375962530349,0.014605041913614917
4,0.03602660819888115,98.336669921875,99.16,29501,0,0.0,-0.0,-711.0409955570708,0.011609541362227612
5,0.0017754076980054379,98.69666290283203,99.34166666666667,29608,1,3.3773514809686244e-05,3.3838039094678785e-05,-509.2924084730204,0.008287540708940283
6,0.011180170811712742,98.86000061035156,99.42333333333333,29658,0,0.0,-0.0,-447.79914707619037,0.007274879533941645
7,0.00985811185091734,98.83999633789062,99.41666666666667,29652,0,0.0,-0.0,-365.0313396685131,0.005930756486204701
8,0.0775376409292221,98.8933334350586,99.44666666666667,29668,0,0.0,-0.0,-292.197190780448,0.004745011138283498
9,0.0005298961768858135,98.98999786376953,99.49333333333334,29697,0,0.0,-0.0,-290.17928963552845,0.004707738856684564
10,0.0057382769882678986,98.96666717529297,99.48166666666667,29690,0,0.0,-0.0,-242.1628017786727,0.003929828985153309
