epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.06125267222523689,62.663333892822266,1.72,28,18771,0.998510559072291,0.9984824206475004,-14305.532509495964,0.34928762659865537
2,0.054211076349020004,77.17666625976562,0.22666666666666666,0,23153,1.0,1.0,-13217.817992595154,0.26258052790169695
3,0.06467638164758682,77.90333557128906,0.20333333333333334,0,23371,1.0,1.0,-12745.658606610168,0.25087572778055484
4,0.0668104887008667,78.71666717529297,0.18666666666666668,0,23615,1.0,1.0,-12552.259948039804,0.2445249470830124
5,0.053271301090717316,78.99666595458984,0.19166666666666668,1,23698,0.9999578041267564,0.9999552954030412,-12331.003286023844,0.2394059327828812
6,0.04009857028722763,79.31666564941406,0.2683333333333333,0,23795,1.0,1.0,-11944.619579616718,0.23104045211818466
7,0.06949347257614136,79.88333129882812,0.29833333333333334,1,23964,0.999958272480701,0.9999557522138053,-11711.7987462112,0.22506059318086244
8,0.0680210292339325,80.12333679199219,0.35833333333333334,0,24037,1.0,1.0,-11336.140459636323,0.21726087031822547
9,0.0646376982331276,80.48999786376953,0.4533333333333333,3,24144,0.9998757609640949,0.9999085870594292,-10946.488005002184,0.20901355265388177
10,0.04836929962038994,81.0,0.6116666666666667,2,24298,0.999917695473251,0.9999431245932561,-10562.992157945637,0.20054344666211504
