epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.10018596798181534,76.72000122070312,77.60333333333334,21462,1554,0.06751824817518248,0.07041652396144443,-5612.568003280308,0.11706321808526698
2,0.016378069296479225,97.0566635131836,98.51,29114,3,0.00010303259264347288,0.00010514745149861949,-1328.75201452536,0.0219812022481856
3,0.049561966210603714,97.91666412353516,98.94666666666667,29373,2,6.808510638297873e-05,6.820178814025471e-05,-858.7037179316987,0.014081936873857986
4,0.2827480435371399,98.37000274658203,99.17833333333333,29510,1,3.388566975026261e-05,3.394446292399003e-05,-649.9894924733783,0.01061032194750812
5,0.03695811703801155,98.83999633789062,99.415,29652,0,0.0,-0.0,-459.66486500510285,0.007467408526786972
6,0.13818851113319397,98.60333251953125,99.29833333333333,29580,1,3.380548324938305e-05,3.577557416995949e-05,-449.9627560976012,0.007326368055651808
7,0.030334720388054848,98.91666412353516,99.455,29675,0,0.0,-0.0,-339.03585722432206,0.005503411194199997
8,0.004996136296540499,98.93000030517578,99.46166666666667,29679,0,0.0,-0.0,-295.2047269155568,0.004790766261303356
9,0.005275844130665064,98.94999694824219,99.47,29684,1,3.36870473303015e-05,3.736530011599914e-05,-248.84421634018494,0.004038130383963913
10,0.03207166865468025,99.03666687011719,99.515,29711,0,0.0,-0.0,-241.5788738685706,0.003916821770761338
