epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
0,274.0342619419098,8.5,12.93,34,391,0.92,0.9228030288845169,-840.3921000792573,0.9865761553498703
1,151.42731952667236,75.58000183105469,86.87,3773,6,0.0015877216194760519,0.0017495876700898206,-153.15159537437893,0.022172777395087242
2,78.11910529171291,85.5,92.45,4274,1,0.00023391812865497077,0.000282536848964697,-130.34445658929297,0.016760740993258645
3,36.37288133054972,94.37999725341797,97.19,4719,0,0.0,-0.0,-37.11114922567816,0.004333031749047877
4,31.32830971106887,94.94000244140625,97.43,4746,1,0.0002106593638087213,0.00025490168173492587,-40.49461606234264,0.004697810975706096
5,24.464588153758655,96.45999908447266,98.22,4823,0,0.0,-0.0,-24.33168027225074,0.0027837817622189762
6,35.1316680768316,95.30000305175781,97.63,4765,0,0.0,-0.0,-21.92100030492855,0.002538674686893376
7,45.542030483797134,93.63999938964844,96.78,4681,1,0.00021358393848782572,0.0002585354767643499,-40.95783071823292,0.004819285384477813
8,51.49612318724394,93.22000122070312,96.59,4661,0,0.0,-0.0,-35.81222931413196,0.00423672680461072
9,28.94167542100149,96.04000091552734,98.0,4802,0,0.0,-0.0,-29.877911815649735,0.0034289101280162303
10,73.75062443315983,91.77999877929688,95.85,4589,0,0.0,-0.0,-31.792041970448555,0.0038286756571638304
