epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
0,503.9471845626831,8.5,12.93,34,391,0.92,0.9228030288845169,-840.3921000792573,0.9865761553498703
1,103.06745082139969,89.30000305175781,94.44,4462,3,0.0006718924972004479,0.0007977431152473949,-137.99337577709207,0.0170041896966145
2,64.97864722274244,93.13999938964844,96.52,4657,0,0.0,-0.0,-83.28923396117895,0.00984508071941347
3,55.99656564136967,95.45999908447266,97.71,4773,0,0.0,-0.0,-37.02957451233251,0.0042743560742247505
4,82.40577215224039,94.05999755859375,97.0,4703,0,0.0,-0.0,-43.553200164609386,0.005094561986155833
5,36.78854503271327,97.27999877929688,98.64,4864,0,0.0,-0.0,-23.41160345157574,0.002654738137004884
6,59.61562307634449,95.55999755859375,97.77,4778,0,0.0,-0.0,-32.60699245616507,0.00376488543868593
7,50.64914160164963,96.58000183105469,98.28,4829,0,0.0,-0.0,-19.938497924691998,0.0022745310531781674
8,57.31638070083102,96.16000366210938,98.07,4808,0,0.0,-0.0,-20.804289773156402,0.0023850933593433763
9,56.020694661827335,96.87999725341797,98.43,4844,0,0.0,-0.0,-13.32475016494928,0.0015177935017257169
10,69.57465426558338,96.4800033569336,98.23,4824,0,0.0,-0.0,-16.346552958973945,0.0018696036036184493
