epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.05231234431266785,91.65666961669922,90.675,25146,2351,0.0855002363894243,0.08862796500154063,-7085.115314678966,0.09743909063638938
2,0.04080379754304886,97.46666717529297,97.51833333333333,28521,719,0.024589603283173736,0.025670726109507155,-2310.7652062029492,0.029918693104763902
3,0.003964078146964312,98.21666717529297,98.11,28873,592,0.020091634142202615,0.020814039063936987,-1547.8345498397832,0.0198893388811938
4,0.014538303948938847,98.66000366210938,98.40166666666667,29042,556,0.018785053044124603,0.019503201687626655,-1173.0041525094346,0.015007855622630812
5,0.005823041778057814,98.71666717529297,98.56166666666667,29142,473,0.015971635995272664,0.01664530601902972,-952.418010521725,0.012176551545398536
6,0.0013156356289982796,98.97666931152344,98.67,29205,488,0.01643484996463813,0.016993767435629963,-836.9576907630823,0.010673065205272364
7,0.002579583553597331,99.0,98.67833333333333,29209,491,0.016531986531986533,0.0171063676410717,-660.7636412202984,0.008424958418349924
8,0.002404710976406932,99.16666412353516,98.78833333333333,29275,475,0.015966386554621848,0.016517338284434427,-633.2926967093912,0.008060439260116486
9,0.17577321827411652,99.12666320800781,98.79666666666667,29279,459,0.01543479722913444,0.01596062163647934,-505.81813675656184,0.006441279966116576
10,0.004576651379466057,98.86000061035156,98.52,29113,545,0.0183761548317486,0.01908699344479454,-506.3462543927233,0.006463983539838933
11,0.004224156960844994,99.25,98.785,29274,501,0.016826196473551637,0.017423875181188413,-456.9441162212036,0.005811247066855989
12,0.0005715303122997284,99.54000091552734,99.085,29452,410,0.013729823856406136,0.014159012638108516,-351.6627174374973,0.004459346276675413
13,0.0020526063162833452,99.28333282470703,98.85166666666667,29311,474,0.015914050696659392,0.016508510620580043,-371.86119093203666,0.004727762812119224
14,0.00039157920400612056,99.3499984741211,98.96,29377,428,0.014360006710283509,0.014859594163362836,-312.8208998779723,0.003974469680995064
15,0.0026507454458624125,99.37333679199219,98.99,29395,417,0.013987655977458742,0.01442284660216033,-298.6588751937443,0.0037941194572129818
16,0.0021903649903833866,99.4366683959961,99.02166666666666,29415,416,0.01394522476618283,0.014428267206461915,-239.4314063630839,0.0030398150222307025
17,0.0003036779526155442,99.31666564941406,98.905,29347,448,0.015036079879174357,0.01552297773325464,-267.8121022309739,0.0034041180793930093
18,0.00041972726467065513,99.42333221435547,98.97833333333334,29387,440,0.014751735005196633,0.015278355214977647,-245.98482111929815,0.00312304179375554
19,0.05967798829078674,99.39666748046875,98.96166666666667,29379,440,0.014755692679164292,0.015237150778247617,-233.33430382671017,0.0029633286791111266
20,0.050687819719314575,99.2300033569336,98.73,29238,531,0.0178373475763378,0.01849483320662089,-240.92200550272875,0.0030638822937176747
