epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.025319376960396767,91.83333587646484,90.36333333333333,24960,2590,0.094010889292196,0.0975035595570348,-7506.880580899147,0.10285158823221227
2,0.0020504712592810392,97.6433334350586,97.52166666666666,28525,768,0.026217867749974397,0.027299975795586982,-2304.2479056184798,0.029760306759661716
3,0.001157346530817449,98.3933334350586,98.17333333333333,28908,610,0.020665356731485875,0.02150169586746528,-1550.4961669154613,0.01987790929017517
4,0.0030131975654512644,98.76667022705078,98.42,29056,574,0.019372257846776916,0.02007323259037672,-1201.3683049483059,0.01534728028649132
5,0.0026875620242208242,98.72666931152344,98.43166666666667,29063,555,0.0187386049024242,0.019439245896842598,-1016.5723380932667,0.012994014345118515
6,0.005056677386164665,98.93333435058594,98.56833333333333,29144,536,0.018059299191374664,0.018784761352221034,-865.1353446789061,0.011035683047476319
7,0.0005075781955383718,99.17666625976562,98.79166666666667,29277,476,0.01599838671730582,0.01661757477703781,-652.2672136323092,0.008299908381559482
8,0.0006937566795386374,99.25666809082031,98.82166666666667,29293,484,0.01625415589213151,0.016897462786080092,-619.786122489253,0.007879823926115283
9,15.416666984558105,78.49666595458984,76.12,21412,2137,0.09074695316149306,0.09316926863317614,-500.32061282189125,0.008026178193481994
10,13.75,22.5,14.526666666666667,478,6272,0.9291851851851852,0.929185185185195,0.0,-0.0
11,14.583333015441895,22.5,14.526666666666667,478,6272,0.9291851851851852,0.929185185185195,0.0,-0.0
12,14.583333015441895,22.5,14.526666666666667,478,6272,0.9291851851851852,0.929185185185195,0.0,-0.0
13,14.583333015441895,22.5,14.526666666666667,478,6272,0.9291851851851852,0.929185185185195,0.0,-0.0
14,15.416666984558105,22.5,14.526666666666667,478,6272,0.9291851851851852,0.929185185185195,0.0,-0.0
15,15.416666984558105,22.5,14.526666666666667,478,6272,0.9291851851851852,0.929185185185195,0.0,-0.0
16,15.833333015441895,22.5,14.526666666666667,478,6272,0.9291851851851852,0.929185185185195,0.0,-0.0
17,15.833333015441895,22.5,14.526666666666667,478,6272,0.9291851851851852,0.929185185185195,0.0,-0.0
18,15.0,22.5,14.526666666666667,478,6272,0.9291851851851852,0.929185185185195,0.0,-0.0
19,15.833333015441895,22.5,14.526666666666667,478,6272,0.9291851851851852,0.929185185185195,0.0,-0.0
20,16.66666603088379,22.5,14.526666666666667,478,6272,0.9291851851851852,0.929185185185195,0.0,-0.0
