epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.23085623979568481,91.66999816894531,90.01166666666667,24849,2652,0.09643285698701866,0.10002160583318671,-7049.625863297885,0.09673971080458656
2,0.05685102939605713,97.5433349609375,97.51166666666667,28518,745,0.025458770460991695,0.026524655194522254,-2197.870385048321,0.028416603309634206
3,0.021884478628635406,98.4566650390625,98.275,28975,562,0.01902698310593493,0.01975516131538062,-1401.6644560325785,0.01795669858517519
4,0.017847182229161263,98.6433334350586,98.37833333333333,29029,564,0.019058561146217012,0.01984842003716119,-1083.1938591500498,0.013857844581887614
5,0.013115119189023972,98.73666381835938,98.44166666666666,29072,549,0.018534148070625568,0.019168540479247587,-913.115440220229,0.011670586255565297
6,0.017813289538025856,98.97333526611328,98.58666666666667,29151,541,0.01822039606628048,0.01884372216508219,-776.5096794483438,0.009900148496960635
7,0.015362185426056385,99.1066665649414,98.72666666666667,29240,492,0.01654782725682766,0.017138351080470595,-617.2241326190532,0.00785740415138258
8,0.006393683608621359,99.15333557128906,98.77666666666667,29269,477,0.016035769515228938,0.016602381905540562,-549.6904004063226,0.00699650667554865
9,0.0017949285684153438,99.16000366210938,98.76,29260,488,0.016404464165658196,0.016989456342059464,-523.9731888012783,0.00666830045637496
10,0.0003927346842829138,99.27666473388672,98.87666666666667,29330,453,0.015210019138434677,0.01571849073340104,-443.5952673435331,0.005639187453457554
11,0.003888481529429555,99.27999877929688,98.86166666666666,29320,464,0.0155788342734354,0.016063194400478698,-456.872546078565,0.005808226365337496
12,0.02085593342781067,99.33000183105469,98.87166666666667,29328,471,0.01580589952682976,0.016280264015345255,-399.9366172186145,0.00508189428607929
13,0.027945607900619507,99.3066635131836,98.83166666666666,29299,493,0.016548066595059075,0.017156504422516938,-340.8259855774469,0.004331796171241586
14,0.0022639513481408358,99.5199966430664,98.92666666666666,29361,495,0.016579581993569133,0.01707456157782356,-319.9173887510766,0.0040570458106880345
15,0.09759736061096191,99.44000244140625,98.97333333333333,29385,447,0.014983909895414321,0.015457181716847075,-286.50878621977324,0.0036368661998882113
16,0.012205352075397968,99.41999816894531,98.85,29313,513,0.0171997585998793,0.017753582468716084,-297.9358871395039,0.003782341691270865
17,0.002795371226966381,99.2699966430664,98.84333333333333,29308,473,0.015882609717605186,0.01640088268003635,-261.0927969254626,0.003318883405684274
18,0.0001248204498551786,99.40666961669922,98.94833333333334,29369,453,0.0151901280933539,0.015770546385137873,-252.25870920336632,0.003202998800058936
19,7.624566364938801e-07,99.48999786376953,99.04166666666667,29427,420,0.014071766006633832,0.014581587567252502,-206.3965673967642,0.0026183448574647354
20,2.3019800210022368e-05,99.413330078125,98.94333333333333,29368,456,0.01528969957081545,0.0158502286519693,-193.09382053305714,0.0024514760589322126
