epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
0,275.95655369758606,11.279999732971191,12.93,52,512,0.9078014184397163,0.9091765377673059,-1359.9850977471244,0.9865064916940811
1,63.61718611419201,87.31999969482422,90.65,4106,260,0.05955107650022904,0.064149759296732,-318.23219023136124,0.028842202370014697
2,33.07451405764732,93.73999786376953,95.07,4519,168,0.03584382334115639,0.038173898568169544,-146.515237040485,0.012530345519431227
3,37.18237320706248,94.0199966430664,95.8,4593,108,0.02297383535417996,0.025178628098970045,-109.10063407382442,0.009279872080537542
4,46.368733074865304,93.69999694824219,95.59,4568,117,0.02497331910352188,0.027052701817549474,-85.64514269478059,0.007321171338283567
5,34.12953493301757,95.0199966430664,96.56,4659,92,0.0193643443485582,0.02125544035780874,-64.93039452985131,0.005473016455966055
6,41.03344967191879,94.66000366210938,96.18,4625,108,0.022818508345658146,0.024760920298411836,-58.67383533907949,0.0049748092769154395
7,26.194653099258176,96.9000015258789,97.45,4747,98,0.02022703818369453,0.021344083590452506,-39.61719229817781,0.003282614284757775
8,21.494623255179263,97.36000061035156,98.11,4813,55,0.011298274445357435,0.012069821337920355,-19.811604378410998,0.0016348597211935814
9,41.595998903154396,95.44000244140625,96.7,4672,100,0.020955574182732608,0.02264675200751214,-57.850965516007356,0.004868453033172608
10,23.74549424559425,97.22000122070312,97.67,4769,92,0.018926146883357333,0.019511159295420837,-35.97729202908158,0.0029698000953540045
11,35.86308682081744,95.83999633789062,96.86,4690,102,0.021285475792988316,0.023047330224367876,-44.939868003727376,0.0037604597317931194
12,46.49847470658278,95.19999694824219,96.45,4651,109,0.022899159663865545,0.024885718504471212,-39.264813691371536,0.003314396397050738
13,36.41368189005516,96.05999755859375,97.11,4716,87,0.01811367895065584,0.019998978283945527,-38.68738047716536,0.00322923752988397
14,24.320563023446255,97.5,98.03,4805,70,0.014358974358974359,0.015250559568747686,-19.786498938405877,0.0016307785782892846
15,35.4092356971504,96.4800033569336,97.2,4723,101,0.02093698175787728,0.02281994911000615,-34.45276902731808,0.0028665441123140343
16,45.71659986663144,95.9000015258789,96.73,4677,118,0.024608967674661104,0.026538433004930907,-24.031159187532488,0.0020119160453988144
17,32.72805025268599,96.66000366210938,97.45,4750,83,0.017173598179184773,0.018618336343620475,-25.469084501245764,0.0021183054026759846
18,32.07632314058705,96.69999694824219,97.43,4748,87,0.01799379524301965,0.01929232354623075,-26.766140548229277,0.002222865478705323
19,24.554883420267757,97.83999633789062,98.37,4838,54,0.011038430089942763,0.01218161514672933,-10.62487660431966,0.0008728530911390619
20,31.26434377480298,97.0,98.0,4800,50,0.010309278350515464,0.011404330162316217,-16.034231676872714,0.0013275380415172968
