epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.0772661492228508,76.7933349609375,77.675,21491,1547,0.0671499262088723,0.07003970813945898,-5596.549977048471,0.11658024628773257
2,0.0068962727673351765,96.93333435058594,98.44833333333334,29079,1,3.43878954607978e-05,3.444649654635414e-05,-1338.1927158120945,0.022167514613726434
3,0.040804386138916016,98.02333068847656,99.00166666666667,29405,2,6.801101778488115e-05,7.178504628163069e-05,-838.1155529483758,0.01372975766091645
4,0.0765736848115921,98.41666412353516,99.2,29523,2,6.773920406435225e-05,6.784623665662693e-05,-652.0983789390827,0.010638053548060656
5,0.0011154540115967393,98.77666473388672,99.38666666666667,29633,0,0.0,-0.0,-508.11430529931744,0.008260660634070733
6,0.08030301332473755,98.72000122070312,99.35666666666667,29615,1,3.37655321447866e-05,3.1651602316472264e-05,-423.2621700345857,0.006884658003374726
7,0.006779786199331284,98.86333465576172,99.43166666666667,29659,0,0.0,-0.0,-368.48006929021864,0.005984646904538111
8,0.008682265877723694,99.07666778564453,99.53333333333333,29722,1,3.3643979409884604e-05,3.732454787817029e-05,-295.37551112289003,0.004787991306158361
9,0.011185144074261189,99.02333068847656,99.51,29707,0,0.0,-0.0,-273.681908338498,0.004437062600675549
10,0.21840138733386993,99.01667022705078,99.505,29704,1,3.3664366268305e-05,3.5632717303980394e-05,-255.56297110923902,0.004144502658868338
11,0.023271290585398674,99.08999633789062,99.54333333333334,29726,1,3.3639452349715744e-05,3.369688165253621e-05,-213.47845647729864,0.003459370287212047
12,0.20431603491306305,99.04666900634766,99.52333333333333,29714,0,0.0,-0.0,-162.48566855519377,0.0026344294850973167
13,0.0016990150325000286,99.27666473388672,99.63833333333334,29783,0,0.0,-0.0,-188.56974689936905,0.0030501741717312704
14,0.0028772095683962107,99.36666870117188,99.68,29809,1,3.354579000335458e-05,3.550801578865143e-05,-130.8446067124682,0.0021145004515827747
15,0.0022066375240683556,99.36333465576172,99.67833333333333,29809,0,0.0,-0.0,-145.32746784533904,0.0023485231777587235
16,0.0007400001049973071,99.23999786376953,99.62,29772,0,0.0,-0.0,-125.59473813241908,0.0020323033930444577
17,0.00017177507106680423,99.24333190917969,99.62166666666667,29773,0,0.0,-0.0,-122.63453808656872,0.0019844149459391077
18,2.4075285182334483e-05,99.3133316040039,99.65666666666667,29794,0,0.0,-0.0,-111.17989391075575,0.0017976690611297154
19,0.002100059064105153,99.2933349609375,99.64666666666666,29788,0,0.0,-0.0,-110.10428124325448,0.0017801239518507837
20,0.03675847873091698,99.33999633789062,99.67,29802,0,0.0,-0.0,-77.7827376239034,0.001257329031915943
