epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.9948719143867493,91.64666748046875,94.935,27181,313,0.011384302029533716,0.025318230214111326,-2276.177524780922,0.06424823958816815
2,0.7972805500030518,96.63333129882812,98.06333333333333,28849,141,0.0048637461193515,0.011209353479302351,-964.1762893721213,0.026032467855471544
3,0.11449173837900162,97.4000015258789,98.46666666666667,29085,135,0.004620123203285421,0.010670533273236731,-676.5436375896678,0.018161244768028013
4,0.14341148734092712,97.87333679199219,98.73333333333333,29245,117,0.003984742183774947,0.009206163181866142,-574.5349319171206,0.015353475049345368
5,0.02789243869483471,98.01333618164062,98.81666666666666,29291,113,0.0038430145558427426,0.008885800271529987,-457.33481282102815,0.01221377195590059
6,0.1543177366256714,98.1433334350586,98.87833333333333,29333,110,0.0037360323336616515,0.008642304948340692,-420.25084136761683,0.011213545113328062
7,0.07967453449964523,98.38333129882812,98.99333333333334,29397,118,0.003997967135354904,0.009250962503742072,-342.4289600593724,0.009117438486119822
8,0.14433813095092773,98.45333099365234,99.02,29414,122,0.004130552546045504,0.009554431301843474,-326.12795184320487,0.008674220864951648
9,0.017805611714720726,98.51667022705078,99.06666666666666,29443,112,0.0037895449162578245,0.008772899481994924,-279.3204734900955,0.007430624956213314
10,0.016079632565379143,98.46666717529297,99.03833333333333,29427,113,0.003825321597833446,0.008851934581374878,-254.56534063532837,0.006772616236893147
11,0.004332304932177067,98.65666961669922,99.145,29489,108,0.003649018481602865,0.00844759436566734,-216.01115287724616,0.0057382955503025804
12,0.04537298157811165,98.68333435058594,99.16333333333333,29499,106,0.003580476270900186,0.008285999678227067,-189.20092974042174,0.00502296040428385
13,0.0004628189199138433,98.7066650390625,99.15833333333333,29499,113,0.003816020532216669,0.0088349894014511,-183.67234551959578,0.004877180211164085
14,0.7717505097389221,98.70999908447266,99.15333333333334,29494,119,0.004018505386147976,0.009309924725033778,-183.22356517526853,0.004868307243517195
15,6.306482100626454e-05,98.86333465576172,99.25833333333334,29556,103,0.0034728075794868336,0.008045086819030881,-170.68406616506567,0.00452776556782734
16,0.46675053238868713,99.07333374023438,99.35666666666667,29615,107,0.0036000269160890923,0.008341192890531519,-158.90077278110815,0.004206954719612851
17,0.08637324720621109,98.82666778564453,99.22666666666667,29539,109,0.003676470588235294,0.008510420750091882,-147.03733678460574,0.003898967395589576
18,0.23607192933559418,98.79000091552734,99.215,29530,107,0.0036103519249586664,0.00836264474932361,-126.02120578786753,0.0033450371289396133
19,0.0038915935438126326,99.1866683959961,99.43833333333333,29665,91,0.0030582067482188466,0.007085591583500993,-124.70638069989158,0.003297773624095235
20,7.227425157907419e-06,99.17333221435547,99.42166666666667,29653,99,0.0033275073944608767,0.007706809495559781,-113.24117891560915,0.0029939273168338473
