epoch,loss,accY,accC,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.11537603288888931,13.735,3.93,651,2096,0.7630141973061522,0.7656905956336253,-9368.434660160709,0.8652113369945866
2,0.11666292697191238,20.04,10.535,1923,2085,0.5202095808383234,0.528300841698541,-12598.892333321664,0.8059078111316239
3,0.12086441367864609,24.245,16.6,3094,1755,0.36193029490616624,0.3732465503256901,-14351.414735801989,0.7626831993463409
4,0.10446151345968246,28.65,23.3,4342,1388,0.24223385689354276,0.25168899743728795,-15750.072592722265,0.7131475896944611
5,0.07910256087779999,38.345,34.195,6589,1080,0.14082670491589516,0.14670695210176776,-17603.21447410122,0.597388081415606
6,0.07307101786136627,55.15,53.17,10418,612,0.05548504079782412,0.05819389473333035,-17803.175337781864,0.4179327336066743
7,0.06319575756788254,62.79,61.66,12192,366,0.029144768275203056,0.030425576938031704,-16128.162742352106,0.3316785966579738
8,0.045533496886491776,66.195,65.23,12921,318,0.024019941083163382,0.02503358970795642,-15331.448598426452,0.2989331869391057
9,0.058712683618068695,67.925,67.02,13313,272,0.020022083179977918,0.020931967293954842,-14683.100419346503,0.279034558229964
10,0.05140402540564537,69.99,69.14,13729,269,0.019217031004429203,0.01998654125702591,-14359.244723830443,0.2645800366404706
11,0.042150381952524185,71.155,70.195,13956,275,0.0193240109619844,0.01999163217446761,-13857.455257185842,0.251333853652399
12,0.04339008405804634,72.445,71.66,14251,238,0.01642625439988957,0.017038316560638072,-13482.18254292846,0.23996011542126408
13,0.0382348857820034,73.725,72.9,14493,252,0.017090539165818923,0.017778963126198706,-13256.398452536228,0.23176236958504506
14,0.04836872220039368,74.705,73.955,14728,213,0.014256073890636503,0.014776314635537413,-12823.501928084494,0.2214113105755007
15,0.050475817173719406,75.785,74.98,14935,222,0.014646697895361879,0.015172449359999346,-12577.91504347569,0.21381333271914635
16,0.03325895965099335,77.295,76.515,15244,215,0.01390775599974125,0.014385999127466818,-12376.111096232951,0.20641261248102852
17,0.04670766741037369,78.35,77.44,15443,227,0.014486279514996809,0.014961093923792473,-12156.492374507254,0.20000986940658552
18,0.037191618233919144,78.935,78.015,15554,233,0.014758978906695383,0.015301516017474176,-11831.858236239661,0.1931597010914799
19,0.023180261254310608,79.44,78.53,15666,222,0.013972809667673716,0.014360043500717725,-11460.75203405785,0.18584522465187767
20,0.03277307376265526,80.385,79.545,15870,207,0.012875536480686695,0.013257085077529509,-11225.194772360242,0.17993651436010477
