epoch,loss,accY,accC,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.05051744356751442,50.935,48.56,9548,639,0.06272700500638068,0.06511257772655418,-14275.354444842493,0.3619398133323795
2,0.043101102113723755,69.055,68.42,13609,202,0.014626022735500687,0.015287871267544974,-12734.520775864414,0.23783538794264467
3,0.04155496880412102,72.875,72.38,14410,165,0.011320754716981131,0.011892694951886863,-11453.26356457664,0.20253387962029412
4,0.0409059040248394,75.88,75.35,15033,143,0.009422772799156563,0.009845250481590623,-10583.004572085942,0.17974762906347957
5,0.04650479927659035,78.615,78.075,15585,138,0.008776950963556573,0.009078190353423686,-9744.046762596352,0.15972442373585904
6,0.019376521930098534,80.145,79.595,15889,140,0.008734169318110925,0.008994006665591853,-9090.549906006085,0.1461530180704435
7,0.04222849756479263,82.515,81.98,16366,137,0.008301520935587468,0.00858821890122682,-8404.931355269571,0.13120062108325822
8,0.028239548206329346,84.24,83.685,16716,132,0.007834757834757835,0.008077943412321945,-7740.472395658451,0.11833822472694341
9,0.023784253746271133,85.6,85.015,16985,135,0.007885514018691588,0.008086128048093864,-7047.234877704758,0.1059919828289496
10,0.019707219675183296,86.895,86.145,17217,162,0.009321595028482652,0.009654146568330356,-6447.676952785664,0.09557798412952964
11,0.025400923565030098,88.165,87.365,17466,167,0.009470878466511654,0.009790224302843067,-6072.5144104293495,0.08867540814659503
12,0.018555674701929092,89.0,88.175,17627,173,0.009719101123595506,0.010063219565876672,-5487.759684645421,0.0794072170981028
13,0.02114967443048954,89.95,89.155,17822,168,0.00933852140077821,0.009640959024339302,-5080.180868761047,0.07270191230228
14,0.007571073714643717,90.455,89.62,17918,173,0.009562766016251174,0.009834841182534955,-4774.5549935060035,0.06793788207689593
15,0.013698957860469818,90.95,90.01,17992,198,0.010885101704233095,0.011139321543679682,-4636.325759498658,0.0656021868074463
16,0.023355523124337196,91.83,90.87,18168,198,0.010780790591310029,0.011079755794410931,-4112.009127834537,0.05764464573716548
17,0.020518014207482338,91.965,91.08,18211,182,0.009895068776164846,0.010230061333626828,-3871.9398257302646,0.05420682678641086
18,0.00647119851782918,92.695,91.655,18326,213,0.01148929284211662,0.011847514083403916,-3765.0916164926284,0.05226841417773108
19,0.025044867768883705,93.235,92.195,18437,210,0.011261865179385424,0.011540626991061646,-3479.21419750538,0.04801808082640515
20,0.0171041339635849,93.39,92.305,18459,219,0.011725024092515258,0.012060537255732414,-3342.855865572433,0.046064854850432296
