epoch,loss,accY,accC,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.04812363535165787,50.785,48.515,9532,625,0.06153391749532342,0.06433622804636448,-14217.428035879742,0.36149741859758
2,0.042228784412145615,68.72,68.115,13543,201,0.014624563445867288,0.015308609986288406,-12817.17651400159,0.24037399359515874
3,0.03503919020295143,73.135,72.585,14463,164,0.011212141929308812,0.011745452041808954,-11554.207389023342,0.20362356959224584
4,0.048023007810115814,76.255,75.71,15107,144,0.009442003803029309,0.009859720570934202,-10653.409048243955,0.17995128548260378
5,0.05470599606633186,78.89,78.475,15650,128,0.008112561794904298,0.008471739900692906,-9596.973354435057,0.15677641390226804
6,0.0256034042686224,80.81,80.345,16026,136,0.008414800148496474,0.008690842628811667,-9127.200880037351,0.14552778726156138
7,0.03255336359143257,82.91,82.345,16448,134,0.008081051742853698,0.008337359281082908,-8317.456167175009,0.12919399744349336
8,0.025004152208566666,84.505,83.87,16755,146,0.008638542098100704,0.008971492480627653,-7711.368701432693,0.117584643409572
9,0.023623084649443626,86.08,85.405,17063,153,0.008887081784386618,0.009268681014581403,-7000.806085514788,0.10472400993569425
10,0.021497858688235283,86.75,86.03,17191,159,0.009164265129682997,0.009467777625044475,-6547.880260714041,0.09717034965064598
11,0.00947068352252245,88.315,87.545,17497,166,0.00939817698012795,0.009840538710837,-5941.386136586098,0.08658810852324102
12,0.024105435237288475,89.395,88.615,17709,170,0.009508361765199397,0.009885801151373491,-5387.022736454404,0.07756758532676536
13,0.012277035042643547,89.595,88.685,17729,190,0.01060327027177856,0.011015077273789116,-5200.291146394302,0.07471182608372573
14,0.016040192916989326,90.71,89.815,17954,188,0.010362694300518135,0.01081232687291035,-4739.697862137321,0.06725272886550654
15,0.019603397697210312,91.28,90.32,18059,197,0.010790972830850131,0.011130104693048348,-4445.538479783366,0.06269688189600213
16,0.017507603392004967,91.44,90.44,18084,204,0.01115485564304462,0.011459588256357052,-4154.787361827772,0.0584782089692415
17,0.01216173730790615,92.085,91.045,18207,210,0.011402508551881414,0.011750907527263942,-3936.0391182766593,0.0550120715661161
18,0.014681195840239525,92.665,91.59,18312,221,0.011924674904224896,0.012299422777342226,-3763.026380731526,0.05225323493559117
19,0.007795403711497784,92.875,91.77,18352,223,0.012005383580080754,0.012319768091656674,-3432.1768794983495,0.04756928572634735
20,0.022911345586180687,93.04,92.005,18398,210,0.011285468615649183,0.011582697767902344,-3310.6127100347103,0.04579015287407068
