epoch,loss,accY,accC,acc_C1,acc_C2,acc_C3,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.12732043862342834,9.55,0.55,21.725,15.45,15.025,15,367,0.9607329842931938,0.9638694392227439,-1400.9774970196966,0.9104273365200949
2,0.13697098195552826,12.825,2.15,30.825,25.275,27.55,57,456,0.8888888888888888,0.8907274573340207,-1789.032253859139,0.8861799981274886
3,0.1208503469824791,14.825,3.3,36.05,26.975,33.275,100,493,0.8313659359190556,0.8360514417449731,-2068.861955842602,0.8821887466654135
4,0.12109905481338501,16.775,5.6,42.0,33.95,37.875,186,485,0.7228017883755589,0.7309406051987978,-2282.8432772635156,0.8617457002280904
5,0.12634053826332092,19.675,10.125,48.05,42.5,45.475,361,426,0.5412960609911055,0.5509558626364139,-2495.055697963512,0.8142911136834065
6,0.10882620513439178,24.925,15.575,51.525,50.6,56.0,580,417,0.4182547642928786,0.4319264092481197,-2852.953152025229,0.7413854676631414
7,0.10166370868682861,28.575,18.175,54.725,56.175,56.8,687,456,0.3989501312335958,0.41364598982872375,-3148.2957798020266,0.7123855522389474
8,0.10376045852899551,31.575,21.8,55.875,60.625,61.65,829,434,0.3436262866191607,0.35844615162571736,-3269.808291231789,0.6696024361681193
9,0.10499823838472366,33.275,24.15,57.8,62.025,62.925,918,413,0.3102930127723516,0.3228726010806983,-3282.0670792831347,0.6408984383978846
10,0.08415339887142181,33.3,24.575,58.2,62.4,64.425,938,394,0.2957957957957958,0.31075729795317014,-3230.9664366480265,0.6305798705853812
11,0.08764631301164627,35.35,25.625,57.75,62.175,66.025,969,445,0.3147100424328147,0.32918549764689525,-3373.3097881796125,0.6203405528727041
12,0.08853714168071747,36.95,27.05,58.85,63.4,68.65,1040,438,0.2963464140730717,0.30896354311284807,-3484.409251305593,0.6134331693814223
13,0.08871529251337051,38.55,29.45,61.4,64.775,69.95,1111,431,0.2795071335927367,0.29164575307481916,-3554.673072323523,0.596897914362466
14,0.09136774390935898,39.65,31.125,63.35,66.375,71.425,1183,403,0.2540983606557377,0.2673751954718802,-3555.5321656744163,0.5826371002713185
15,0.07930398732423782,42.2,34.625,64.325,68.25,73.35,1306,382,0.22630331753554503,0.23840010267262254,-3702.9704320494743,0.5711106407823852
16,0.07903730124235153,44.75,38.025,69.0,70.0,75.325,1460,330,0.18435754189944134,0.19349819291177195,-3751.8184133722953,0.5439055284921479
17,0.07273103296756744,47.325,42.35,73.725,71.075,78.55,1644,249,0.13153724247226625,0.13855919761404412,-3688.559368012916,0.5055796710014854
18,0.07551697641611099,52.75,48.525,75.175,78.7,79.275,1888,222,0.1052132701421801,0.1096604685023668,-3898.1465739398736,0.478522993105226
19,0.0622912235558033,56.975,54.375,79.2,81.5,81.425,2123,156,0.06845107503290918,0.07174815211678953,-3831.959312454743,0.4358170124322168
20,0.08690053224563599,59.55,57.25,83.4,82.85,81.975,2250,132,0.055415617128463476,0.05825329648745483,-3611.0141924015265,0.392142104849419
