epoch,loss,accY,accC,acc_C1,acc_C2,acc_C3,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.12866027653217316,11.35,0.55,14.7,14.475,14.0,18,436,0.960352422907489,0.9674659718713178,-1588.7863492994177,0.887235245514544
2,0.11934071779251099,13.55,0.6,16.425,16.475,17.6,21,521,0.9612546125461254,0.9661966905196319,-1828.970105376336,0.870137219254719
3,0.1281585842370987,14.425,0.75,16.7,17.475,21.425,22,555,0.9618717504332756,0.9674187178005528,-1909.0172873165884,0.8498457863001394
4,0.1179206520318985,18.125,1.4,15.225,19.025,28.2,45,680,0.9379310344827586,0.9475569199157671,-2353.956902767117,0.8297539979788842
5,0.12099186331033707,19.85,1.55,17.3,19.0,29.6,49,745,0.9382871536523929,0.9481261090244075,-2476.720807179729,0.8006379138295603
6,0.11514390259981155,23.8,3.0,18.175,18.775,34.675,109,843,0.8855042016806722,0.898007611463361,-2786.384343155146,0.7504228620809449
7,0.11575455963611603,27.575,3.025,17.1,17.925,36.05,114,989,0.8966455122393472,0.9071936616450096,-2979.7460604028875,0.6942751959876607
8,0.10386916249990463,31.8,3.625,17.8,17.7,38.1,138,1134,0.8915094339622641,0.9035815680892111,-3148.1753924345635,0.6379884699631698
9,0.08771567791700363,39.575,4.175,16.75,18.625,39.65,163,1420,0.8970309538850284,0.909861820385067,-3592.2104675772707,0.5805861306753335
10,0.07373945415019989,46.0,4.7,16.975,18.5,39.95,187,1653,0.8983695652173913,0.9108439298601089,-3506.8328898468526,0.48967197235573384
11,0.07268241792917252,53.8,5.525,17.175,18.475,39.9,220,1932,0.8977695167286245,0.9090438542746475,-3487.393835152161,0.41566992526018176
12,0.05869157239794731,58.35,5.925,16.85,18.55,40.125,234,2100,0.8997429305912596,0.9117868362669834,-3218.7377337015523,0.3540927853981817
13,0.06383343786001205,66.2,6.35,16.9,18.6,41.15,254,2394,0.9040785498489426,0.9151614972763272,-3026.229964879285,0.292710973410453
14,0.049108318984508514,71.2,6.975,16.6,18.35,41.35,278,2570,0.9023876404494382,0.9124618768531096,-2633.6973964324584,0.23737370688827003
15,0.05547444894909859,75.75,7.275,16.85,18.15,41.525,290,2740,0.9042904290429042,0.9150761669868871,-2332.3060975743124,0.19772736625695098
16,0.03703591600060463,79.45,7.225,16.775,18.1,41.675,289,2889,0.9090623033354311,0.9189694202308021,-2131.1962128641126,0.1716599104545216
17,0.03686358779668808,82.275,7.5,16.675,18.45,41.3,299,2992,0.9091461561835309,0.9193306303825334,-1851.5265395696902,0.14427362324045603
18,0.02939920499920845,84.075,7.625,16.5,18.35,41.3,305,3058,0.9093071662206363,0.9194933487447288,-1596.3027466117885,0.12170399051600872
19,0.02877935767173767,87.525,8.05,16.6,18.525,41.7,322,3179,0.9080262782062268,0.9188370022421223,-1410.43758928371,0.10342939714384897
20,0.014552561566233635,89.8,8.175,16.375,18.625,41.85,327,3265,0.9089643652561247,0.9189055854328027,-1248.6965744763809,0.08900239445447578
