epoch,loss,accY,accC,acc_C1,acc_C2,acc_C3,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.11323456466197968,14.475,5.4,33.8,34.35,34.475,172,407,0.7029360967184801,0.7174529169970983,-1963.5045831975258,0.8575579007009722
2,0.09412325918674469,25.625,20.3,58.025,57.75,58.375,719,306,0.29853658536585365,0.31195986400529563,-2823.6665136401475,0.7123097064582932
3,0.057020239531993866,54.225,52.95,79.875,81.45,80.25,2062,107,0.04933148916551406,0.05155702222136147,-3239.1551531780874,0.38707841657644504
4,0.05852634087204933,63.575,62.45,85.475,85.675,84.85,2472,71,0.02791977978765238,0.028992215207627677,-2836.2673469445517,0.28746034361355177
5,0.05416264757514,68.875,67.95,87.275,88.475,87.2,2699,56,0.020326678765880218,0.020938399904198813,-2707.2040938832943,0.25402136775824413
6,0.045363206416368484,73.075,72.0,88.825,89.325,89.2,2867,56,0.01915839890523435,0.020143159166955922,-2410.5815022979627,0.21299056555142934
7,0.042709894478321075,77.3,76.05,90.375,91.05,90.75,3034,58,0.018758085381630013,0.019536514660421292,-2261.317008414911,0.1885055979735351
8,0.0223187655210495,80.225,79.1,91.775,91.8,92.3,3157,52,0.016204425054534122,0.01680259331418317,-2002.691142095273,0.1605758325308114
9,0.02518799528479576,82.075,80.75,92.525,92.925,92.3,3226,57,0.017362168748096252,0.017847967319187856,-1897.4530255759767,0.1488511765227909
10,0.01250999141484499,84.625,83.15,93.8,93.1,93.475,3321,64,0.018906942392909895,0.019505186524273625,-1752.3699338612114,0.1331253872640023
11,0.03623712435364723,87.45,85.95,93.9,94.8,94.375,3435,63,0.018010291595197257,0.018840412635907695,-1519.1856354444528,0.11179982443993167
12,0.04001832380890846,88.125,86.375,95.025,94.1,94.55,3453,72,0.020425531914893616,0.02117898220260246,-1334.7192558746428,0.09751178202421823
13,0.02386946603655815,89.875,88.2,95.125,95.45,95.125,3527,68,0.018915159944367176,0.019619034459510572,-1228.1008838437929,0.08794513855017279
14,0.006232433952391148,90.875,88.85,95.4,95.125,95.675,3551,84,0.023108665749656122,0.023832769134345237,-1146.3989401833014,0.08116930758162604
15,0.023261869326233864,92.45,90.55,95.9,95.975,96.075,3620,78,0.021092482422931314,0.021850162226373544,-1032.274724835392,0.07181629618723481
16,0.009329428896307945,93.725,91.7,96.475,96.425,96.375,3668,81,0.02160576153640971,0.022339111248361472,-903.6798253986755,0.06200664938742791
17,0.03825819864869118,94.475,92.275,96.475,96.55,96.575,3690,89,0.023551204022228104,0.0244471983808116,-820.3156876789652,0.0558171193203877
18,0.002486326964572072,93.575,91.375,96.375,96.175,96.1,3654,89,0.023777718407694364,0.024646501310985697,-770.5122438327743,0.052952627059170025
19,0.002105205086991191,95.375,92.95,96.65,96.95,96.625,3718,97,0.025425950196592398,0.02621118676070213,-706.2441907757294,0.04758149417706675
20,0.006121383048593998,96.475,94.2,97.35,97.05,97.325,3766,93,0.02409950764446748,0.0248723961658367,-593.7560474511873,0.0395439787020857
