epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.04929986968636513,45.556889822876016,34.228960272190534,6692,2413,0.2650192202086766,0.2673390480459529,-17286.1412629527,0.4493322983545451
2,0.03490990027785301,69.22345641949364,68.47793455418793,13611,224,0.016190820383086377,0.01622636920612552,-13833.940123932516,0.23767851541163265
3,0.019283398985862732,75.83308315821074,75.20264184929451,14995,161,0.01062285563473212,0.010698389704941379,-11927.76626056091,0.18700156743334032
4,0.05253802612423897,79.61072750925648,79.08035624937456,15771,140,0.008798944126704795,0.008862691486523126,-10353.227898714938,0.15464485883635187
5,0.01874423213303089,82.99309516661663,82.56279395576904,16477,110,0.0066316995237233976,0.00664991794727833,-8930.848110523591,0.12794835659603707
6,0.04307107627391815,86.03022115480836,85.54988491944361,17085,109,0.0063394207281609865,0.006374345238360876,-7945.601532597512,0.1098144022846992
7,0.08483676612377167,88.21174822375663,87.88652056439507,17553,77,0.004367555303460011,0.004424960563257866,-6795.987530166597,0.09159669240415173
8,0.02363348938524723,89.73281296907835,89.4676273391374,17865,69,0.0038474406155904984,0.0038715479708953176,-6023.252684566176,0.07981081034829139
9,0.030984601005911827,91.26888822175523,90.96867807465226,18175,66,0.0036182226851598047,0.0036497220240997415,-5283.520526863004,0.06883167521970264
10,0.015507218427956104,92.47973581507055,92.11448013609527,18407,76,0.0041118865984959155,0.004143187294241626,-4697.579754954156,0.06039584630879913
11,0.040003858506679535,92.76493545481837,92.44971480036025,18474,66,0.0035598705501618125,0.00359691548656787,-4192.930668432725,0.05374043716894121
12,0.009961648844182491,93.29530671470029,93.02511758230762,18588,58,0.0031105867210125494,0.0031287422340214913,-3878.036796700169,0.04942430216890084
13,0.0030661008786410093,94.18593015110578,93.90573401380966,18768,56,0.0029749256268593286,0.002995703725468642,-3428.71676868153,0.043284909207842774
14,0.020286934450268745,95.1816271389973,94.8413889722806,18952,71,0.0037323240288072335,0.0037576037371213865,-2936.4636451818806,0.03668116602958379
15,0.006745607126504183,94.75632943060143,94.43610527369158,18872,66,0.0034850565001584115,0.003503719631611976,-2866.280824638009,0.035969281830813986
16,0.004087848588824272,95.02151506054238,94.70629440608425,18927,64,0.0033700173766520983,0.003380103279808367,-2688.3308377198323,0.03364299887277892
17,0.004031570628285408,95.48684078855199,95.20664465125589,19026,58,0.0030391951372877803,0.0030677131164925445,-2500.1164108242997,0.031131504153373474
18,0.0027286747936159372,95.90213149204443,95.59691784248974,19104,63,0.00328689935827203,0.0033094118067810803,-2250.2149172395434,0.02789634244307275
19,0.0008036256185732782,96.2023416391474,95.86710697488242,19160,67,0.003484682997867582,0.0035031741711413216,-2130.272050735878,0.026330155221253898
20,0.006987249944359064,96.24236965876113,95.91213849694786,19169,66,0.003431245126072264,0.0034621420299271394,-1941.468272041529,0.023985908121460543
