epoch,loss,accY,accC,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.11371975392103195,14.7,5.325,172,416,0.7074829931972789,0.7211804159713199,-2003.538303844529,0.8606984231677229
2,0.06739134341478348,28.45,23.125,848,290,0.2548330404217926,0.2659636219789812,-2969.712011404051,0.6726965770668009
3,0.054739028215408325,56.05,54.975,2160,82,0.036574487065120426,0.03880020360312056,-3131.2973162901276,0.36135971162625
4,0.05371101573109627,64.075,62.825,2489,74,0.02887241513850956,0.03012402394809507,-2796.7505027774005,0.2814272863525533
5,0.05314900726079941,69.525,68.5,2724,57,0.020496224379719527,0.02170951771073597,-2713.6409675441923,0.2515982475449171
6,0.04336748272180557,73.225,72.075,2876,53,0.01809491293956982,0.0189689421839428,-2427.2903179282744,0.2137050096268605
7,0.037987858057022095,77.75,76.375,3044,66,0.02122186495176849,0.02194804135467407,-2287.616855995233,0.18940820305719064
8,0.028368650004267693,79.75,78.6,3138,52,0.016300940438871474,0.017108942128359467,-1954.1926607408282,0.15776636255932422
9,0.022516395896673203,83.075,81.775,3265,58,0.017454107733975325,0.018019742441724745,-1892.6692675875508,0.14649725493948845
10,0.012057733722031116,84.35,83.125,3317,57,0.016893894487255482,0.017168662106620727,-1690.194044902416,0.12888142289968194
11,0.03729945793747902,86.65,85.125,3402,64,0.018465089440276975,0.018972310199725412,-1431.120701027349,0.106294900532427
12,0.04743463546037674,88.025,86.55,3458,63,0.017892644135188866,0.018508597131487208,-1357.7188426383188,0.09926843982871829
13,0.017730634659528732,90.7,88.925,3555,73,0.0201212789415656,0.020797590169537247,-1285.986608696268,0.09127687421726516
14,0.006240402814000845,90.85,88.975,3558,76,0.020913593835993397,0.021389335453744905,-1086.8504597715976,0.07685347591553024
15,0.017363905906677246,92.925,91.0,3640,77,0.02071563088512241,0.021232260050045294,-971.5394877609203,0.06725744627612411
16,0.010415324941277504,93.05,90.925,3636,86,0.0231058570660935,0.023592185831346403,-937.6018986064608,0.06483492993485956
17,0.009130558930337429,94.8,92.575,3702,90,0.023734177215189875,0.02423342987254264,-787.40645781943,0.0533612924915645
18,0.004192656837403774,94.025,92.025,3678,83,0.022068598776921033,0.02263864145946575,-769.7542203281755,0.052640228668214065
19,0.011476114392280579,95.8,93.5,3740,92,0.024008350730688934,0.0248569057471324,-628.7766081878856,0.04219980846004164
20,0.0035579369869083166,95.95,93.675,3746,92,0.023970818134445022,0.024657674709551568,-582.5347327330267,0.03902528303093283
