epoch,loss,acc,GAcc,acc_C1,acc_C2,acc_C3,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.3598622977733612,14.3,0.7916666666666666,26.991666666666667,12.325,12.725,77,1639,0.9551282051282052,0.9584269129702042,-5547.581082750512,0.8097750458638244
2,0.26959848403930664,19.383333333333333,1.0,34.05833333333333,13.475,14.408333333333333,87,2239,0.9625967325881342,0.9646274658491049,-7143.536321860946,0.7784154222427992
3,0.27843019366264343,20.75,1.0,35.975,13.541666666666666,14.275,86,2404,0.9654618473895582,0.9682299710518127,-7632.152766429743,0.7768756928132861
4,0.32457172870635986,21.883333333333333,1.0916666666666666,37.18333333333333,14.341666666666667,14.541666666666666,91,2535,0.9653465346534653,0.9690476488208716,-8018.855801547096,0.7744422755207273
5,0.2980138957500458,22.633333333333333,1.2833333333333334,39.11666666666667,15.083333333333334,15.866666666666667,104,2612,0.9617083946980854,0.9645815527501571,-8135.643556873933,0.7608103917745564
6,0.30033445358276367,23.366666666666667,1.9583333333333333,41.766666666666666,17.066666666666666,17.616666666666667,174,2630,0.9379457917261056,0.9422301846517437,-8334.843000764187,0.7555219770024119
7,0.367240846157074,24.141666666666666,2.75,44.625,19.55,20.241666666666667,265,2632,0.908526061442872,0.9139038686274166,-8425.099523490653,0.7406545067523617
8,0.28279319405555725,25.75,3.8916666666666666,47.325,21.216666666666665,23.408333333333335,385,2705,0.8754045307443366,0.8811365582350814,-8954.045131230387,0.7381145840611737
9,0.2754296064376831,26.625,4.275,48.81666666666667,21.808333333333334,23.275,446,2749,0.8604068857589985,0.865593020461973,-9078.337503230554,0.7238834009392549
10,0.27930787205696106,27.658333333333335,4.583333333333333,50.13333333333333,22.633333333333333,24.333333333333332,473,2846,0.8574871949382344,0.8638844070598709,-9385.990972308364,0.720712608204954
11,0.3009352684020996,27.825,5.091666666666667,50.99166666666667,23.258333333333333,24.958333333333332,535,2804,0.8397723869421982,0.8458601026415099,-9359.119535955475,0.7146250311164216
12,0.28764674067497253,29.216666666666665,5.241666666666666,51.55833333333333,23.583333333333332,25.591666666666665,566,2940,0.838562464346834,0.8431497717813518,-9773.535568542256,0.7095983515758912
13,0.25647127628326416,29.35,5.766666666666667,52.925,24.191666666666666,26.508333333333333,621,2901,0.823679727427598,0.8293424566004257,-9625.317566133339,0.697823196484839
14,0.26451730728149414,30.225,5.975,53.2,24.25,26.9,661,2966,0.8177557209815274,0.8237698215651253,-9915.265544913125,0.6972195739820141
15,0.26583483815193176,29.891666666666666,6.008333333333334,53.141666666666666,24.6,26.825,650,2937,0.8187900752718149,0.8249101246443876,-9716.385826119507,0.6906160691541656
16,0.23814819753170013,30.425,5.816666666666666,53.325,23.966666666666665,26.341666666666665,650,3001,0.821966584497398,0.8284417108175895,-9792.993351629217,0.6862600579859356
17,0.30258217453956604,31.1,6.441666666666666,54.525,24.791666666666668,28.175,698,3034,0.8129689174705252,0.819081157238554,-10005.669341228864,0.6849669333407991
18,0.3106006383895874,31.266666666666666,6.491666666666666,54.541666666666664,24.908333333333335,28.558333333333334,719,3033,0.8083688699360341,0.81461256578803,-10012.854547235384,0.6813881747376948
19,0.2419799268245697,30.85,6.466666666666667,54.675,24.866666666666667,28.575,701,3001,0.8106428957320367,0.8169271884769987,-9764.072265552091,0.674647472981078
20,0.2537570893764496,31.575,6.55,55.3,25.033333333333335,28.966666666666665,710,3079,0.8126154658221166,0.8184613284015817,-9945.925960634584,0.6715327925099266
