epoch,loss,acc,GAcc,acc_C1,acc_C2,acc_C3,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.03993763029575348,85.33333333333333,3.691666666666667,19.291666666666668,56.333333333333336,25.458333333333332,388,9852,0.962109375,0.977356448494769,-17558.080704979344,0.340671684343709
2,0.011799962259829044,96.675,4.408333333333333,21.733333333333334,58.53333333333333,26.383333333333333,522,11079,0.9550038789759504,0.9717515070160005,-9126.858532502865,0.1660199082315579
3,0.0035766884684562683,97.45833333333333,4.475,21.858333333333334,58.90833333333333,26.483333333333334,537,11158,0.9540829414279607,0.9711182903242273,-7076.069094978798,0.1281606949243197
4,0.006854533683508635,97.71666666666667,4.541666666666667,22.008333333333333,59.09166666666667,26.5,542,11184,0.9537779293876855,0.9709384488506073,-6536.465511923987,0.11820367332317787
5,0.02464066632091999,97.98333333333333,4.541666666666667,22.008333333333333,59.21666666666667,26.575,545,11213,0.9536485796904235,0.9708362713298817,-5868.239925390969,0.10600105691086452
6,0.035742416977882385,98.05,4.575,22.058333333333334,59.3,26.533333333333335,548,11218,0.953425123236444,0.9707144622841203,-5396.967221588286,0.0974454584932473
7,0.0011292083654552698,98.26666666666667,4.591666666666667,22.083333333333332,59.375,26.525,549,11243,0.9534430122116689,0.9707154181071226,-5273.403663630222,0.09506569325227102
8,0.0033340223599225283,98.24166666666666,4.558333333333334,22.058333333333334,59.391666666666666,26.583333333333332,547,11242,0.9536008143184325,0.9707848233905485,-5059.076075471381,0.0912649901144952
9,0.003539743833243847,98.35833333333333,4.591666666666667,22.116666666666667,59.5,26.533333333333335,551,11252,0.9533169533169533,0.970633290837289,-4892.715065463002,0.08818045536735787
10,0.012383653782308102,98.40833333333333,4.625,22.158333333333335,59.50833333333333,26.541666666666668,555,11254,0.9530019476670336,0.9703849683991276,-4801.17532256666,0.08650053244715762
11,0.0005767261027358472,98.44166666666666,4.6,22.133333333333333,59.575,26.616666666666667,551,11262,0.9533564716837383,0.9705669778517346,-4763.640790494677,0.08581574215314264
12,0.014509512111544609,98.575,4.608333333333333,22.116666666666667,59.63333333333333,26.583333333333332,553,11276,0.953250486093499,0.9704962353763118,-4628.648234634706,0.0833308231772236
13,0.005913848988711834,98.68333333333334,4.616666666666666,22.158333333333335,59.69166666666667,26.583333333333332,554,11288,0.953217361932106,0.9704874110549974,-4639.473825953856,0.08342420525505771
14,0.001423829817213118,98.73333333333333,4.633333333333334,22.216666666666665,59.69166666666667,26.608333333333334,556,11292,0.9530722484807562,0.9703965917273143,-4491.488862022219,0.08076719948161969
15,0.006479448638856411,98.74166666666666,4.616666666666666,22.183333333333334,59.74166666666667,26.616666666666667,553,11296,0.9533293948856444,0.9705249481303666,-4603.780375470646,0.08280245930810867
16,0.015156714245676994,98.80833333333334,4.633333333333334,22.225,59.766666666666666,26.616666666666667,556,11301,0.9531078687695033,0.9704037991992884,-4465.5972494692,0.08028205847421864
17,0.01477605476975441,98.91666666666667,4.633333333333334,22.233333333333334,59.833333333333336,26.591666666666665,555,11315,0.9532434709351306,0.9704749842991506,-4489.995520685307,0.08064827081889574
18,0.0113743981346488,98.84166666666667,4.625,22.216666666666665,59.8,26.625,555,11306,0.9532079925807267,0.9704584365742935,-4350.703809734351,0.07819014327723768
19,0.021898962557315826,98.95833333333333,4.641666666666667,22.241666666666667,59.85,26.591666666666665,557,11318,0.9530947368421052,0.9703993588896844,-4348.847506224087,0.07807702129957099
20,0.00026390847051516175,98.975,4.625,22.241666666666667,59.85,26.608333333333334,555,11322,0.9532710280373832,0.970579717348072,-4358.378315364133,0.07821637829474257
