epoch,loss,acc,GAcc,acc_C1,acc_C2,acc_C3,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.11660964041948318,12.65,2.02,25.475,24.54,24.585,300,2230,0.8814229249011858,0.886237307845556,-8838.729309393899,0.887343628508056
2,0.08427578955888748,26.295,19.91,56.88,56.505,56.695,3493,1766,0.3358052861760791,0.34550909817873365,-14770.624687175921,0.7241305356393841
3,0.06251583993434906,46.88,44.515,76.77,76.45,76.105,8532,844,0.09001706484641639,0.09462548907730403,-17714.481302802487,0.4883994384580303
4,0.0844588428735733,54.45,53.095,80.825,81.15,80.715,10341,549,0.050413223140495865,0.0528238319420041,-17798.17340936428,0.42241189183671934
5,0.06667347997426987,58.985,57.96,83.285,83.41,83.085,11379,418,0.035432737136560144,0.03726622141194986,-17203.46544690478,0.37673648871355997
6,0.05527183786034584,61.74,60.67,84.275,84.93,84.5,11983,365,0.029559442824748948,0.03100754258441032,-16497.254551738974,0.34500824542375674
7,0.07386983186006546,63.795,62.815,85.305,86.12,85.325,12454,305,0.023904694725291952,0.02507621998748064,-15898.45520789371,0.3216781900493499
8,0.06872305274009705,65.66,64.78,86.235,86.76,86.25,12845,287,0.02185501066098081,0.02278684278791841,-15468.050650394958,0.30416298779802614
9,0.05407004803419113,66.77,66.1,86.975,87.29,86.84,13099,255,0.01909540212670361,0.01994505202731658,-14922.960948694195,0.28841157167457093
10,0.05464473366737366,67.915,67.33,87.3,88.02,87.37,13362,221,0.016270337922403004,0.016906893855993362,-14359.363444365124,0.2728410107563537
11,0.03558595851063728,68.77,68.17,87.695,88.105,87.87,13520,234,0.017013232514177693,0.017903930647229154,-14250.65434991346,0.26728566783220864
12,0.05515841394662857,69.75,69.155,88.05,88.72,88.08,13749,201,0.014408602150537634,0.014881461996977673,-13851.36351668389,0.25624314865145187
13,0.04247548431158066,70.615,69.995,88.57,89.03,88.545,13920,203,0.014373716632443531,0.014926727096144872,-13699.157391704377,0.2502250143574771
14,0.0380934476852417,71.54,70.94,88.755,89.41,89.005,14105,203,0.014187866927592954,0.014633841977366426,-13485.770244469211,0.2431915079165986
15,0.06832097470760345,72.245,71.685,89.005,89.805,89.365,14257,192,0.01328811682469375,0.013709823771678713,-13297.90429584519,0.2374595503806423
16,0.03874411806464195,72.605,72.085,89.275,89.785,89.67,14339,182,0.012533572068039392,0.012895771108746864,-13140.88834458747,0.23346869361479952
17,0.05203188210725784,73.27,72.805,89.75,90.045,89.66,14485,169,0.011532687320868023,0.011820975624904632,-12960.087421680639,0.2282986759397481
18,0.034569691866636276,73.72,73.25,89.935,90.24,90.015,14581,163,0.011055344546934347,0.011276345259544567,-12628.945760546032,0.2208106851898707
19,0.05621567368507385,74.65,74.155,90.045,90.7,90.415,14768,162,0.010850636302746148,0.011385080351666218,-12632.948641154806,0.21809461236672448
20,0.0449524000287056,74.65,74.135,90.16,90.695,90.39,14779,151,0.010113864701942398,0.010271625970951501,-12423.885861715471,0.21457683313580692
