epoch,loss,acc,GAcc,acc_C1,acc_C2,acc_C3,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.12626273930072784,16.025,0.65,25.833333333333332,11.733333333333333,11.941666666666666,48,1875,0.9750390015600624,0.9759465810609854,-6785.720405567102,0.8652353459996395
2,0.11133290827274323,22.433333333333334,0.975,32.75,13.608333333333333,13.566666666666666,97,2595,0.9639673105497771,0.9646362625149767,-8920.840694376691,0.8140016379159285
3,0.10340166836977005,25.416666666666668,0.9083333333333333,33.708333333333336,13.408333333333333,13.516666666666667,70,2980,0.9770491803278688,0.9777851050094337,-10026.921019384545,0.808674406401758
4,0.10689748823642731,29.5,1.8083333333333333,42.03333333333333,16.566666666666666,16.866666666666667,148,3392,0.9581920903954803,0.9603318233126072,-10291.998308980528,0.7168911391391749
5,0.09202439337968826,34.13333333333333,2.85,48.93333333333333,19.725,20.0,240,3856,0.94140625,0.9449773989694921,-10556.1744111429,0.6388047432144928
6,0.0969393402338028,37.25,4.116666666666666,53.325,21.408333333333335,22.208333333333332,369,4101,0.9174496644295302,0.9214536597687283,-10921.88599994191,0.6058541301729832
7,0.10671352595090866,39.18333333333333,5.083333333333333,57.06666666666667,23.291666666666668,23.733333333333334,447,4255,0.9049340706082518,0.9081466704117216,-11022.494868915237,0.581061766678246
8,0.08614087849855423,41.675,5.65,59.416666666666664,24.083333333333332,24.65,537,4464,0.8926214757048591,0.8968252891704755,-11313.4046553526,0.5607637272860142
9,0.07643365114927292,43.2,6.125,60.583333333333336,24.425,25.283333333333335,610,4574,0.8823302469135802,0.8868668155414573,-11310.552323024136,0.5400331429950656
10,0.08553626388311386,43.96666666666667,6.35,61.45,24.975,25.533333333333335,609,4667,0.8845716451857468,0.8883112505892203,-11121.235180401749,0.5216834871279641
11,0.09757596254348755,45.2,6.691666666666666,62.55833333333333,25.0,25.991666666666667,646,4778,0.8808997050147492,0.8847174038924634,-11227.531106120861,0.512057526888325
12,0.0906306654214859,45.975,7.05,63.30833333333333,25.575,26.483333333333334,697,4820,0.8736632227659961,0.8777407128369915,-11144.210314150727,0.4998250906192113
13,0.08247757703065872,47.03333333333333,7.366666666666666,64.125,25.858333333333334,26.433333333333334,719,4925,0.8726080793763289,0.8769874021620069,-11202.94750786563,0.4912320259075456
14,0.08809177577495575,47.45,7.616666666666666,64.73333333333333,26.358333333333334,26.933333333333334,751,4943,0.8681067790656831,0.8729251700454836,-11103.23582304714,0.4829098154275153
15,0.10504698753356934,48.25,8.016666666666667,65.46666666666667,26.6,27.308333333333334,831,4959,0.8564766839378238,0.8609324666975527,-11127.338320124298,0.4756283859792895
16,0.09213770180940628,48.95,8.041666666666666,65.85,26.533333333333335,27.4,789,5085,0.865679264555669,0.8704529480442533,-11133.196585284722,0.4691419033548999
17,0.08486968278884888,49.016666666666666,8.141666666666667,66.30833333333334,26.783333333333335,27.316666666666666,801,5081,0.8638218293097586,0.8688780905844936,-10976.451461340026,0.4618630450174519
18,0.09781686216592789,49.458333333333336,8.325,66.85,26.958333333333332,27.6,836,5099,0.8591406908171861,0.8640007570355913,-10986.208468666973,0.4578172238865713
19,0.08296559751033783,50.291666666666664,8.375,66.66666666666667,26.716666666666665,27.616666666666667,853,5182,0.8586578293289147,0.8629818242174194,-11034.298389541022,0.4520145432844689
20,0.07730059325695038,50.38333333333333,8.775,67.24166666666666,27.208333333333332,27.833333333333332,891,5155,0.8526298379093615,0.8571117695824155,-10907.29175707219,0.4460756299372127
