epoch,loss,acc,GAcc,acc_C1,acc_C2,acc_C3,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.10592607408761978,85.65,3.783333333333333,19.516666666666666,56.266666666666666,25.483333333333334,395,9883,0.9615683985211131,0.9769216759440332,-17798.90249620996,0.34424218618793906
2,0.05261089652776718,96.95833333333333,4.466666666666667,21.816666666666666,58.483333333333334,26.408333333333335,529,11106,0.9545337344220026,0.9714537058431236,-9090.828055611324,0.16479391671115576
3,0.013209700584411621,97.80833333333334,4.508333333333334,21.983333333333334,58.80833333333333,26.541666666666668,539,11198,0.9540768509840675,0.9710976895060813,-6948.002127524299,0.1251944555647683
4,0.01706116273999214,98.025,4.541666666666667,22.083333333333332,58.96666666666667,26.55,545,11218,0.9536682819008756,0.9709400370277775,-6551.072070568608,0.11791436553362919
5,0.03321900591254234,98.15,4.583333333333333,22.116666666666667,59.03333333333333,26.591666666666665,546,11232,0.9536423841059603,0.9708308578983841,-5640.041316271013,0.10146453623719758
6,0.11367521435022354,98.36666666666666,4.591666666666667,22.15,59.19166666666667,26.6,550,11254,0.9534056252117926,0.9706930833961686,-5192.987219132999,0.09329137785535502
7,0.007689200341701508,98.48333333333333,4.591666666666667,22.166666666666668,59.2,26.6,550,11268,0.953460822474192,0.9707160260046888,-5151.9475355262775,0.09248164997928791
8,0.014222024008631706,98.60833333333333,4.591666666666667,22.15,59.291666666666664,26.6,549,11284,0.9536043268824473,0.9708754380865823,-4945.156864182521,0.08866112731239005
9,0.01746654510498047,98.6,4.6,22.183333333333334,59.30833333333333,26.608333333333334,552,11280,0.9533468559837728,0.9706451454889026,-4731.624658917278,0.08488350385769318
10,0.016901256516575813,98.625,4.591666666666667,22.2,59.25833333333333,26.591666666666665,551,11284,0.9534431770173215,0.9706982795553993,-4489.553383913809,0.08051732919461506
11,0.00849937368184328,98.71666666666667,4.6,22.208333333333332,59.38333333333333,26.625,552,11294,0.9534019922336654,0.9706727308949519,-4627.471997961839,0.08293703460329428
12,0.08269492536783218,98.875,4.6,22.225,59.425,26.625,552,11313,0.9534766118836915,0.970709094300639,-4236.639716257335,0.07583809466141507
13,0.02258531004190445,99.03333333333333,4.616666666666666,22.208333333333332,59.59166666666667,26.633333333333333,554,11330,0.9533826994278021,0.9706495720222021,-4157.0681621030835,0.07433915564627253
14,0.0149831622838974,99.1,4.641666666666667,22.283333333333335,59.583333333333336,26.641666666666666,556,11336,0.9532458795829128,0.970580439314187,-4009.4018606814516,0.07165042214227474
15,0.021515946835279465,98.96666666666667,4.616666666666666,22.216666666666665,59.56666666666667,26.65,554,11322,0.9533512967329068,0.9706298647488477,-3851.0965511538366,0.0689138310080759
16,0.056046999990940094,99.19166666666666,4.625,22.291666666666668,59.625,26.658333333333335,555,11348,0.9533730992186844,0.9706391880991964,-3484.90746411063,0.062246985824490994
17,0.03975732997059822,99.16666666666667,4.641666666666667,22.308333333333334,59.68333333333333,26.641666666666666,556,11344,0.9532773109243697,0.9705746569890753,-3760.244710199752,0.06721104157233446
18,0.05256965756416321,99.25,4.633333333333334,22.3,59.69166666666667,26.633333333333333,555,11355,0.9534005037783375,0.9706459956136354,-3490.830089914796,0.06233831809632112
19,0.0922180712223053,99.35,4.641666666666667,22.291666666666668,59.75833333333333,26.616666666666667,557,11365,0.9532796510652575,0.9705821794772106,-3433.381898437558,0.061260501359764345
20,0.0011059336829930544,99.46666666666667,4.633333333333334,22.291666666666668,59.81666666666667,26.633333333333333,556,11380,0.9534182305630027,0.9706493550466788,-3272.6158444124753,0.05834661431339311
