epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.10586998611688614,85.64166666666667,1.261111111111111,395,9882,0.9615646589471636,0.9769205667536763,-17797.921563563024,0.3442397583769389
2,0.05270320549607277,96.95,1.4861111111111112,528,11106,0.9546157813305828,0.9714951878271426,-9086.026218081864,0.16472746260706883
3,0.013285372406244278,97.80833333333334,1.5027777777777778,539,11198,0.9540768509840675,0.9710953922614743,-6943.833321907709,0.1251292836834257
4,0.01796245016157627,98.05833333333334,1.5138888888888888,545,11222,0.9536840316138353,0.9709452350936235,-6555.7427313414855,0.11797732708378028
5,0.03361225128173828,98.13333333333334,1.525,545,11231,0.953719429347826,0.9708752685437116,-5647.197778138912,0.10159430297502998
6,0.11374209821224213,98.375,1.5333333333333334,551,11254,0.9533248623464634,0.9706520779765861,-5183.141734810075,0.09310297133345531
7,0.007331805769354105,98.51666666666667,1.5305555555555554,550,11272,0.9534765691084419,0.9707235676547433,-5162.828752505716,0.0926531091062993
8,0.013539285399019718,98.59166666666667,1.5305555555555554,550,11281,0.9535119601048094,0.9708236722437319,-4910.860362711661,0.08806800545491553
9,0.02049180492758751,98.65,1.5333333333333334,552,11286,0.9533705017739483,0.9706529949190267,-4751.521286178358,0.08521764847714418
10,0.02114943414926529,98.65833333333333,1.5305555555555554,551,11288,0.9534589070022806,0.9706965491121712,-4476.357319251711,0.08028540709375104
11,0.008502842858433723,98.74166666666666,1.5361111111111112,552,11297,0.9534137901932652,0.9706789663747559,-4642.545855756667,0.08318950834741068
12,0.08502943068742752,98.90833333333333,1.5361111111111112,553,11316,0.9534080377453872,0.970669831713471,-4213.114092715055,0.07540355739445496
13,0.02057299204170704,99.05,1.5416666666666667,555,11331,0.953306410903584,0.9706077476312844,-4145.879368348086,0.07413248262084125
14,0.016358505934476852,99.10833333333333,1.5472222222222223,556,11337,0.9532498108130834,0.970586382430225,-3996.741405053674,0.07140974361896725
15,0.020038757473230362,98.95,1.538888888888889,554,11320,0.9533434394475324,0.9706318889554088,-3831.531693150049,0.06855900025554254
16,0.053640495985746384,99.175,1.5472222222222223,555,11346,0.9533652634232418,0.970636581502955,-3460.5994694355622,0.06181828705310559
17,0.05094638094305992,99.20833333333333,1.5472222222222223,556,11349,0.9532969340613188,0.9705858271666795,-3800.902464327637,0.06791197298568716
18,0.05689261853694916,99.25833333333334,1.5444444444444445,555,11356,0.9534044160859709,0.9706449860458284,-3470.0257138767424,0.06196893028033922
19,0.10541143268346786,99.30833333333334,1.5472222222222223,557,11360,0.9532600486699673,0.9705710233742076,-3414.0960834240086,0.060939493331698465
20,0.0010320729343220592,99.48333333333333,1.5444444444444445,556,11382,0.9534260345116435,0.9706542629474973,-3241.5231286366984,0.05778260659462633
