epoch,loss,acc,GAcc,acc_C1,acc_C2,acc_C3,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.0013518150663003325,57.575,1.1333333333333333,10.55,41.291666666666664,19.816666666666666,63,6846,0.9908814589665653,0.9950945093539046,-32205.134485719325,0.7386159768324464
2,0.12769006192684174,84.925,3.0416666666666665,18.583333333333332,55.15833333333333,23.408333333333335,346,9845,0.9660484741438524,0.9798651401402991,-17569.545737050717,0.33995166804524896
3,0.0899386927485466,88.79166666666667,3.4,19.475,56.13333333333333,24.558333333333334,400,10255,0.9624589394650399,0.9776664588980256,-13937.246189213536,0.2639620371072164
4,0.08777950704097748,89.69166666666666,3.3666666666666667,19.483333333333334,56.483333333333334,24.558333333333334,393,10370,0.9634860169097835,0.9777747130652384,-12821.850341257084,0.2416091547286809
5,2.2745790481567383,90.8,3.45,19.825,56.541666666666664,24.916666666666668,405,10491,0.962830396475771,0.9773650698250307,-12208.385505258817,0.2285122492285604
6,0.00019016883743461221,91.75,3.5083333333333333,20.025,56.641666666666666,24.966666666666665,414,10596,0.9623978201634877,0.9770737063314278,-11365.40558788649,0.21155949337317007
7,0.06717447936534882,91.79166666666667,3.5,20.083333333333332,57.13333333333333,25.1,415,10600,0.9623241034952338,0.9767865091086724,-10960.904700273433,0.20398280139475755
8,6.861531437607482e-05,92.175,3.575,20.066666666666666,57.225,25.25,420,10641,0.962028749660971,0.9766755019571011,-10695.853490152576,0.19872532831599343
9,1.115532636642456,92.31666666666666,3.5416666666666665,20.166666666666668,57.00833333333333,25.291666666666668,418,10660,0.962267557320816,0.9767213287055444,-10771.549260889711,0.1998275077003412
10,0.004389932844787836,92.775,3.625,20.175,57.24166666666667,25.141666666666666,424,10709,0.9619150273960299,0.9765668021183563,-10749.44111208704,0.1990755260171165
