epoch,loss,acc,GAcc,acc_C1,acc_C2,acc_C3,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.18890580534934998,85.54166666666667,3.3916666666666666,19.058333333333334,56.46666666666667,23.841666666666665,367,9898,0.964247442766683,0.9794540700647544,-35555.23404732255,0.6879147632742705
2,0.2154582142829895,96.95833333333333,4.033333333333333,22.025,58.56666666666667,26.533333333333335,474,11161,0.9592608508809626,0.9749087193674889,-31201.193047005123,0.5651926741142315
3,0.04127134382724762,97.65833333333333,4.283333333333333,22.133333333333333,58.725,26.4,507,11212,0.9567369229456438,0.9740826568550294,-28119.886334263087,0.507417353291611
4,0.023574527353048325,97.975,4.275,22.441666666666666,58.86666666666667,26.625,511,11246,0.9565365314280854,0.9738661564588931,-22933.39819137726,0.4131571837250021
5,0.009685082361102104,98.325,4.375,22.641666666666666,58.90833333333333,26.558333333333334,522,11277,0.9557589626239512,0.9732926002956196,-27545.33320459057,0.4948021411265392
6,0.0028910255059599876,98.28333333333333,4.383333333333334,22.65,59.05833333333333,26.616666666666667,523,11271,0.9556554180091572,0.9733899459470005,-26238.080123189964,0.4716117906898537
7,0.01707346737384796,98.38333333333334,4.325,22.616666666666667,59.05833333333333,26.65,517,11289,0.9562087074368965,0.9737616778266597,-21910.301104339884,0.3934560325354492
8,0.0139264315366745,98.54166666666667,4.375,22.625,59.09166666666667,26.7,521,11304,0.9559408033826639,0.9735201376950301,-25921.037602820223,0.46519529374463714
9,0.03513065725564957,98.61666666666666,4.366666666666666,22.658333333333335,59.141666666666666,26.683333333333334,521,11313,0.9559743113064053,0.9735370432117608,-21047.397960761373,0.37748872829455143
10,0.008727160282433033,98.825,4.433333333333334,22.741666666666667,59.208333333333336,26.666666666666668,530,11329,0.9553082047390168,0.9731700764410138,-24492.439373364246,0.4387179194892662
