epoch,loss,acc,GAcc,acc_C1,acc_C2,acc_C3,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.47345805168151855,84.76666666666667,13.491666666666667,32.44166666666667,65.95833333333333,49.975,1513,8659,0.8512583562721195,0.8887861108256101,-45258.088810074405,0.877545128439427
2,0.438366562128067,96.4,28.158333333333335,51.775,78.15833333333333,70.84166666666667,3334,8234,0.7117911479944675,0.7517981555694625,-42152.80588260751,0.7641091454531009
3,0.3005298972129822,97.2,32.34166666666667,55.108333333333334,80.425,74.21666666666667,3855,7809,0.6694958847736625,0.7086983173763896,-40527.16606929115,0.7315361195889426
4,0.34342342615127563,97.51666666666667,34.9,57.53333333333333,81.525,75.49166666666666,4171,7531,0.6435652025294821,0.6808712492679057,-39524.99554762126,0.7122890799890522
5,0.2646208107471466,97.84166666666667,38.09166666666667,60.025,82.875,77.24166666666666,4548,7193,0.6126394685290861,0.6480185721187165,-38773.513072604845,0.697472890261267
6,0.27497830986976624,97.9,39.666666666666664,61.225,84.06666666666666,78.53333333333333,4732,7016,0.5972080354102826,0.6309020871646602,-38175.44488479376,0.6862820682477629
7,0.28187909722328186,98.03333333333333,42.083333333333336,63.2,84.44166666666666,79.675,5031,6733,0.5723393403604217,0.6105947116156157,-37387.17077088596,0.6717908693160917
8,0.2789096236228943,98.21666666666667,43.95,64.15833333333333,85.375,81.11666666666666,5252,6534,0.5543865603258102,0.5890047695104405,-36801.300554130445,0.6606147462676251
9,0.25074148178100586,98.38333333333334,45.18333333333333,65.575,85.6,81.18333333333334,5403,6403,0.5423513467728274,0.579385638237053,-36314.653858290396,0.6511949566796934
10,0.254853755235672,98.45,46.175,66.09166666666667,86.06666666666666,81.89166666666667,5520,6294,0.5327577450482478,0.5676930999806995,-35673.67479617089,0.6395740906881089
