epoch,loss,acc,GAcc,acc_C1,acc_C2,acc_C3,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.9686474204063416,82.93333333333334,19.558333333333334,39.56666666666667,70.71666666666667,59.108333333333334,2184,7768,0.7805466237942122,0.8192943674279921,-43295.51116502919,0.8465094336962058
2,0.7989098429679871,94.79166666666667,33.425,56.50833333333333,81.11666666666666,75.49166666666666,3954,7421,0.6523956043956044,0.6816785452029628,-39989.91340742115,0.7309056412100877
3,0.7125396728515625,95.75,37.975,59.675,83.46666666666667,78.25833333333334,4509,6981,0.6075718015665796,0.6380981675163446,-38749.80908943632,0.704616547074393
4,0.8153271675109863,96.23333333333333,41.483333333333334,62.56666666666667,84.79166666666667,80.19166666666666,4942,6606,0.5720471077242812,0.6019950381505551,-37711.48735838833,0.6838341383673079
5,0.6496313214302063,96.49166666666666,44.983333333333334,64.96666666666667,86.06666666666666,81.475,5354,6225,0.5376111926763969,0.5658011080212977,-36768.44566345119,0.6658036438538095
6,0.708733081817627,96.65,46.858333333333334,66.43333333333334,86.58333333333333,82.49166666666666,5583,6015,0.5186239006725297,0.5447769043928287,-35876.36412424257,0.6489912983969884
7,0.6657427549362183,96.94166666666666,48.05,67.26666666666667,87.075,83.04166666666667,5725,5908,0.5078655548869595,0.5351413377483617,-35002.06361874739,0.6322816347348083
8,0.709375262260437,97.05833333333334,49.45,68.20833333333333,87.45833333333333,83.79166666666667,5893,5754,0.4940327981454452,0.5233581670479899,-34332.49948738712,0.6197970475349684
9,0.6072660088539124,97.35,50.50833333333333,68.88333333333334,87.79166666666667,83.99166666666666,6030,5652,0.48382126348228044,0.513276521258605,-33830.385838643466,0.6096781626599144
10,0.6550835967063904,97.4,50.49166666666667,69.13333333333334,87.675,84.10833333333333,6027,5661,0.4843429158110883,0.5119929029059389,-33301.19488350537,0.6000277604409345
11,0.7190336585044861,97.35,51.34166666666667,69.65,87.91666666666667,84.725,6125,5557,0.47568909433316214,0.5050477632826155,-32713.94906640747,0.5895581698443046
12,0.6362078785896301,97.45,52.24166666666667,70.13333333333334,88.35833333333333,84.73333333333333,6221,5473,0.4680177868992646,0.49589220147900576,-32512.86277007485,0.5856660965828672
13,0.7152639627456665,97.525,51.891666666666666,70.225,88.15,84.95833333333333,6194,5509,0.47073399982910363,0.4983357482193492,-32154.07353631726,0.5789698545965883
14,0.760888397693634,97.68333333333334,52.88333333333333,70.70833333333333,88.675,85.04166666666667,6308,5414,0.4618665756696809,0.4873965128777577,-31859.484330392133,0.5731781742719813
15,0.6272041201591492,97.78333333333333,53.55,71.11666666666666,88.375,85.5,6391,5343,0.45534344639509117,0.481821397757709,-31595.572593826062,0.5681254063519126
16,0.5907597541809082,97.70833333333333,53.483333333333334,71.18333333333334,88.74166666666666,85.38333333333334,6380,5345,0.455863539445629,0.4835737769802256,-31406.436214117035,0.5649068775502817
17,0.6208437085151672,97.86666666666666,54.18333333333333,71.64166666666667,89.23333333333333,85.35,6474,5270,0.4487397820163488,0.47482015006538325,-31204.335429400253,0.5607954546333599
18,0.5637667775154114,97.86666666666666,54.483333333333334,72.09166666666667,89.03333333333333,85.525,6499,5245,0.4466110354223433,0.47536835265473504,-31018.098857554567,0.5574484638533814
19,0.5592904686927795,98.03333333333333,54.75,72.025,89.15833333333333,85.725,6539,5225,0.44415164909894594,0.4699334666479777,-30974.899914884376,0.5561753507401206
20,0.5569339990615845,97.99166666666666,54.71666666666667,71.95,89.09166666666667,85.875,6531,5228,0.4445956288800068,0.47183575150797635,-30740.5629825216,0.5520908385312734
