epoch,loss,acc,GAcc,acc_C1,acc_C2,acc_C3,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.505500853061676,84.84166666666667,12.95,31.675,65.425,49.1,1457,8724,0.8568902858265396,0.8947618417395374,-45375.23185827666,0.8795855393303501
2,0.46816486120224,96.50833333333334,27.65,51.375,77.94166666666666,69.89166666666667,3278,8303,0.7169501770140748,0.7586196212794506,-42309.320961747435,0.7664974721601824
3,0.31257158517837524,97.3,31.775,54.625,80.18333333333334,73.69166666666666,3790,7886,0.6754025351147653,0.7163046705818569,-40631.25241240929,0.7330203860937032
4,0.3526770770549774,97.575,34.49166666666667,57.35,81.08333333333333,75.025,4120,7589,0.6481339140831839,0.6864079630233137,-39585.85591818018,0.7132189798699757
5,0.2737058997154236,97.89166666666667,37.34166666666667,59.733333333333334,82.40833333333333,76.53333333333333,4462,7285,0.6201583382991402,0.6576922320036321,-38856.3539657665,0.6988865282090401
6,0.2814785838127136,97.91666666666667,38.94166666666667,60.86666666666667,83.675,77.93333333333334,4646,7104,0.6045957446808511,0.6407736794102681,-38242.426854686375,0.6874792977380944
7,0.29460278153419495,98.10833333333333,41.31666666666667,62.791666666666664,84.14166666666667,79.41666666666667,4941,6832,0.5803108808290155,0.6192837367604356,-37538.1319223184,0.6742324723239288
8,0.28703343868255615,98.26666666666667,43.31666666666667,63.766666666666666,85.04166666666667,80.525,5178,6614,0.5608887381275441,0.5953434852025175,-36954.20323356362,0.663181987681213
9,0.26279300451278687,98.41666666666667,44.25,64.69166666666666,85.24166666666666,80.84166666666667,5287,6523,0.5523285351397121,0.5884244023703022,-36462.06043706681,0.6537217360629539
10,0.2587578594684601,98.54166666666667,45.6,65.575,85.83333333333333,81.6,5449,6376,0.5391966173361522,0.5748148627757371,-35849.437270385504,0.6423596523288377
11,0.32299020886421204,98.56666666666666,47.40833333333333,66.81666666666666,86.275,82.34166666666667,5670,6158,0.5206290158944876,0.556094439947178,-35348.08207160541,0.6331915723341656
12,0.24815012514591217,98.73333333333333,48.041666666666664,67.425,86.35833333333333,82.35833333333333,5742,6106,0.5153612424037812,0.5515070241904105,-34949.443512381644,0.6254445290449385
13,0.28274470567703247,98.69166666666666,48.74166666666667,68.025,86.925,82.825,5827,6016,0.5079793971122182,0.542616512581417,-34426.248988158455,0.6162672689155795
14,0.3502393364906311,98.875,49.208333333333336,67.95,87.38333333333334,83.29166666666667,5885,5980,0.5040033712600084,0.5364095079747884,-33995.999349968275,0.6077306730465581
15,0.2431303858757019,98.88333333333334,49.983333333333334,68.975,87.11666666666666,83.56666666666666,5983,5883,0.49578628012809706,0.5284173726845212,-33540.69578081435,0.5997066424783994
16,0.25261086225509644,98.975,50.416666666666664,68.80833333333334,87.95833333333333,83.71666666666667,6028,5849,0.4924644270438663,0.525342738747619,-33214.35351171912,0.5934412151078909
17,0.24094121158123016,99.075,50.90833333333333,69.44166666666666,87.775,83.925,6095,5794,0.4873412398014972,0.520023158165597,-32930.912823352526,0.5880636720674588
18,0.2173289656639099,99.13333333333334,51.625,69.79166666666667,87.925,84.35833333333333,6178,5718,0.48066577000672495,0.5138174453783385,-32504.60749333504,0.5804535044628732
19,0.2259870171546936,99.13333333333334,51.875,70.00833333333334,88.25,84.09166666666667,6212,5684,0.47780766644250167,0.5108892162032429,-32411.435790806576,0.5786985204190082
20,0.24070896208286285,99.18333333333334,52.2,70.575,88.025,84.1,6250,5652,0.47487817173584274,0.5076792820605788,-31990.951897832423,0.5709489624603075
