epoch,loss,accY,accC,acc_C1,acc_C2,acc_C3,acc_C4,acc_C5,acc_C6
1,0.7024734616279602,49.6125,0.0,9.6125,10.225,10.175,3.275,2.6125,3.4125
2,0.7024135589599609,49.625,0.0,9.8125,10.125,10.2875,3.175,2.875,2.8125
3,0.7023745179176331,50.275,0.0,10.1375,10.15,10.1125,2.9875,2.825,3.125
4,0.7023484706878662,49.5125,0.0,10.5125,10.25,10.0875,2.9625,2.9375,2.9875
5,0.7023243308067322,50.0875,0.0,9.8125,9.875,9.7375,2.8875,2.875,3.0875
6,0.7023064494132996,49.05,0.0,10.1125,9.5875,10.25,3.075,3.0,3.075
7,0.7023004293441772,49.475,0.0,10.2125,9.9375,9.8375,3.0875,3.575,3.1
8,0.702299952507019,48.825,0.0,10.3125,9.8625,9.65,3.4625,3.2625,3.1375
9,0.7022995948791504,50.7125,0.0,9.7,10.1375,10.45,2.95,3.2625,3.15
10,0.7022998929023743,50.225,0.0,10.0125,10.1,9.6125,2.725,3.1375,2.8875
11,0.702299952507019,50.3,0.0,10.325,10.075,9.9,3.25,3.1,3.4
12,0.7022997736930847,50.05,0.0,10.5125,10.125,9.7375,3.3875,3.2,3.1625
13,0.7022997140884399,50.15,0.0,9.7125,9.825,10.0625,2.8125,3.425,3.35
14,0.702299952507019,50.0125,0.0,10.075,9.675,10.1125,2.825,3.375,3.0625
15,0.7023000121116638,49.775,0.0,9.4875,9.8875,10.65,3.075,3.25,2.8125
16,0.7022998929023743,50.0,0.0,9.675,10.075,10.625,3.0875,3.175,3.025
17,0.7022997140884399,50.5875,0.0,11.0,10.975,10.05,2.9875,3.375,3.1875
18,0.7022998332977295,50.55,0.0,9.65,9.575,9.775,2.925,3.45,3.0
19,0.7022998332977295,50.675,0.0,9.95,10.7,9.7625,3.0,3.2625,3.3125
20,0.7022998332977295,50.5,0.0,9.9375,10.475,10.625,3.1125,2.9875,3.0875
