epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.0001957598578883335,95.51,0.085,45,19057,0.997644225735525,0.9979348086281893,-112958.98852727666,0.8620635500894379
2,0.0003310484462417662,96.905,0.13666666666666666,81,19300,0.9958206490893142,0.9962226435123918,-107976.54773471424,0.8137621801068892
3,9.34789641178213e-05,98.03,0.13166666666666665,78,19528,0.996021626032847,0.9963868374228941,-99910.14563881785,0.7444139729562914
4,0.0007400792092084885,98.125,0.16833333333333333,99,19526,0.9949554140127389,0.9953124629446716,-111489.27435904504,0.8298780248877987
5,0.0009651219006627798,98.48,0.155,92,19604,0.9953290008123477,0.995719911228236,-112347.09395209173,0.8332812345311913
6,0.00045111231156624854,98.735,0.14666666666666667,87,19660,0.9955942674836684,0.9959862393676333,-111610.43952464244,0.8256368334004458
7,0.000556158134713769,99.02,0.13,78,19726,0.9960614017370228,0.9964551802154761,-111612.2700193666,0.8233638134684466
8,0.0010830379324033856,98.965,0.17333333333333334,103,19690,0.9947961400495124,0.9951805901995273,-111363.43101280986,0.8220148448036358
9,4.770557279698551e-05,99.175,0.14666666666666667,88,19747,0.9955633980337787,0.9959526048046028,-110703.6754914094,0.815428283917898
10,1.6266531019937247e-05,99.06,0.12333333333333334,73,19739,0.9963153644256006,0.9966783409710891,-106753.64075614717,0.7872013451062145
11,2.8249090973986313e-05,99.04,0.14666666666666667,88,19720,0.9955573505654282,0.9959797111676488,-110269.37400449609,0.8133182401551898
12,1.2265656550880522e-05,99.26,0.10666666666666667,64,19788,0.9967761434616159,0.9972064393549933,-111152.32207525506,0.8180531630764509
13,2.309554929524893e-06,99.365,0.115,69,19804,0.9965279524983646,0.9969558324271961,-112693.93539989006,0.8285429179620789
14,2.376777229073923e-05,99.305,0.10333333333333333,62,19799,0.9968783042142894,0.9973091693879762,-114004.12177894147,0.8386586313271164
15,1.631078589525714e-06,99.42,0.12666666666666668,75,19809,0.9962281231140615,0.9966213184499824,-111967.85869328008,0.8226925356335197
16,0.0002977574768010527,99.495,0.115,69,19830,0.9965324890698025,0.9969597413547943,-113142.80916293821,0.8307749603083115
17,5.723877620766871e-05,99.53,0.11,66,19840,0.9966844167587662,0.9971127572101351,-111620.34696330641,0.8192790482604293
18,4.573862497636583e-06,99.455,0.12333333333333334,74,19817,0.9962797244985169,0.9966730571460779,-110614.26394124932,0.8124850637438118
19,3.2064759579952806e-05,99.505,0.12,72,19829,0.9963820913521934,0.9968082689218544,-110837.3685228267,0.8137380171574067
20,7.847375371738963e-08,99.685,0.12666666666666668,76,19861,0.9961879921753524,0.9966118293378345,-110169.95288862198,0.8073926682823461
