epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.19739265739917755,92.88500213623047,13.698333333333334,36,18541,0.9980621198255908,0.9980619196296838,-122609.0367720955,0.9572260153643946
2,0.03254163637757301,94.0999984741211,13.396666666666667,33,18787,0.9982465462274176,0.9982215829394476,-97540.69465892969,0.7623040917270363
3,0.03802158311009407,97.58000183105469,16.376666666666665,98,19418,0.9949784791965567,0.9947853487979633,-52442.49283081978,0.40467394861506645
4,0.05969594419002533,98.2300033569336,17.625,121,19525,0.9938409854423292,0.9935862218507221,-39279.806020874596,0.3019399845152201
5,0.011408153921365738,98.46499633789062,18.52,146,19547,0.9925861981414716,0.992273237386699,-35100.373882164524,0.26938858376886
6,0.09639321267604828,98.58499908447266,19.291666666666668,163,19554,0.9917330222650504,0.99138040899898,-33741.5163636567,0.2587535884710066
7,0.05097904056310654,98.68499755859375,19.668333333333333,171,19566,0.9913360693114455,0.9909641673249879,-32142.072146382354,0.2463024160019116
8,0.0021938043646514416,98.78500366210938,20.083333333333332,175,19582,0.9911423799159792,0.9907585087873473,-30443.263079172375,0.23314061488069943
9,0.006181885488331318,98.97000122070312,20.8,187,19607,0.9905526927351723,0.9901380796947242,-28257.94904275909,0.21611417352487347
10,0.004552432335913181,98.95999908447266,21.3,212,19580,0.9892886014551334,0.9888169526582211,-28570.50512505968,0.21855711631374086
11,0.002166598569601774,99.01499938964844,21.346666666666668,208,19595,0.9894965409281422,0.989031357361638,-27213.651210794138,0.20811294607463182
12,0.00337771768681705,99.15499877929688,20.805,202,19629,0.9898139276889718,0.9893588065734984,-25268.140086264797,0.19303451760232232
13,0.0033424110151827335,99.23500061035156,20.85,189,19658,0.9904771501990225,0.9900496756574969,-25582.3755590565,0.19531654530354364
14,0.0011154947569593787,99.2300033569336,21.495,212,19634,0.9893177466491988,0.9888370741803645,-23865.58155437671,0.1822371564026181
15,0.008944845758378506,99.24500274658203,21.525,215,19634,0.9891682200614641,0.9886801338822145,-22379.62151930793,0.17087490992347013
16,0.0027254940941929817,99.375,21.19,209,19666,0.9894842767295597,0.9890070131904861,-21510.29701378596,0.16407354382709516
17,0.0010267012985423207,99.32499694824219,20.865,194,19671,0.9902340800402718,0.9897916444911209,-20592.871392600482,0.15714251298295395
18,0.005207182839512825,99.45999908447266,20.781666666666666,187,19705,0.9905992358737181,0.9901689912051412,-19982.332037059943,0.15234400893433359
19,0.023697683587670326,99.51499938964844,21.256666666666668,210,19693,0.9894488268100287,0.9889658396404353,-19833.511159544658,0.15112709420974024
20,0.09662367403507233,99.55000305175781,21.44,212,19698,0.9893520843797087,0.9888618543181443,-18719.00727754954,0.1426207043033214
