epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.0007386768120341003,99.105,0.21333333333333335,121,19700,0.9938953635033551,0.9940759895864226,-130148.42108609011,0.9543114783483849
2,0.00047845396329648793,99.53,0.25666666666666665,153,19753,0.9923138752135034,0.9926600856489346,-123196.88760174644,0.9023505172318915
3,0.00029858003836125135,99.64,0.17833333333333334,105,19823,0.994731031714171,0.9950867133315929,-123614.3694999074,0.904987503251195
4,0.0006902885506860912,99.65,0.23333333333333334,139,19791,0.9930255895634722,0.9934028002181318,-124184.87042315493,0.9091310933774016
5,0.0021692453883588314,99.72,0.245,145,19799,0.9927296430004011,0.9930693839744632,-124257.68989076625,0.9094325743804078
6,0.00689274026080966,99.75,0.23833333333333334,143,19807,0.9928320802005013,0.993204003816284,-125190.96865564912,0.9160744890895389
7,0.00032875288161449134,99.75,0.22166666666666668,131,19819,0.9934335839598998,0.9937782353898609,-122320.83705951905,0.8949281189149189
8,0.0008953891810961068,99.775,0.225,134,19821,0.9932848910047607,0.9936593214833482,-122158.60734228585,0.8937176493776154
9,0.008615844883024693,99.815,0.27,161,19802,0.9919350798978109,0.9922990609641661,-122300.9775804182,0.8945425370546203
10,0.0005230102688074112,99.8,0.29,173,19787,0.9913326653306613,0.9916930972960153,-120642.31844947836,0.8824872429088836
11,0.00043051058310084045,99.845,0.30833333333333335,185,19784,0.9907356402423757,0.9911229507196275,-118547.6194016617,0.8668830535978199
12,1.1060514225391671e-05,99.9,0.3333333333333333,200,19780,0.98998998998999,0.9903700552504324,-114942.69654083105,0.8402185010527785
13,1.2320207360971835e-06,99.895,0.39,234,19745,0.9882877020871915,0.9886563876893747,-116148.51619355289,0.8490209579935207
14,1.7867654605652206e-05,99.93,0.39166666666666666,235,19751,0.988241769238467,0.9886085319739902,-113934.97561553642,0.83265403701929
15,8.356670150533319e-06,99.905,0.43833333333333335,262,19719,0.9868875431660077,0.9872124185326279,-110645.06822387136,0.8088146959672856
16,0.06646648049354553,99.915,0.45666666666666667,273,19710,0.9863383876294851,0.9866597122286895,-111269.34301306479,0.8132699287411373
17,5.1975599490106106e-05,99.925,0.4533333333333333,272,19713,0.9863897923442582,0.9867436876239525,-111263.20969450964,0.8131431342431346
18,0.001049608108587563,99.945,0.4816666666666667,289,19700,0.9855420481264695,0.9858879874163364,-109679.52939483662,0.80151092581427
19,7.971201557666063e-05,99.975,0.43833333333333335,263,19732,0.9868467116779195,0.9872008102291655,-107415.03926105081,0.7848011941249076
20,2.36400228459388e-06,99.97,0.415,248,19746,0.9875962788836651,0.9879563153586738,-103533.96229437031,0.7564588070167956
