epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.09604082256555557,25.025075225677032,30.081912403878302,108,890,0.8917835671342685,0.8920215262855163,-3159.6903468456712,0.7419127728916147
2,0.08113686740398407,35.38114343029087,42.987295218990305,303,1108,0.7852586817859674,0.7860276033533176,-4034.39281037607,0.6713189564315124
3,0.07986150681972504,39.593781344032095,54.91474423269809,653,926,0.5864471184293857,0.5874904767058395,-4266.307993021841,0.6364825239404945
4,0.07046037912368774,45.01003009027081,68.75626880641926,1258,537,0.29916434540389975,0.29989930285453337,-4175.125067119117,0.551147697870554
5,0.07032199203968048,48.62086258776329,72.86860581745236,1514,425,0.21918514698298092,0.21965399608108882,-4083.2399580961533,0.4991062145130147
6,0.10008696466684341,51.780341023069205,74.04714142427282,1646,419,0.20290556900726392,0.20339212188947928,-4152.573924182711,0.47614366443882544
7,0.0727764293551445,53.761283851554666,76.22032764961551,1764,380,0.17723880597014927,0.17732831647364092,-3934.9101070609954,0.4347496046402642
8,0.06026669219136238,56.82046138415246,77.18154463390171,1875,391,0.17255075022065314,0.17274722707761198,-3846.135332301705,0.4023117621279157
9,0.09530391544103622,61.10832497492478,78.66934135740556,2038,399,0.16372589249076733,0.1636326532253084,-3922.3950439983214,0.3816506975605143
10,0.06276273727416992,63.64092276830492,79.3547308592444,2119,419,0.16509062253743104,0.16485572535655324,-3635.6082437853843,0.33988853360972116
11,0.06093350052833557,66.14844533600802,79.78936810431294,2191,447,0.16944655041698256,0.16905358608607055,-3554.9981729946076,0.3197524298987341
12,0.06490575522184372,68.83149448345036,79.9983283182882,2251,494,0.17996357012750455,0.1796716826237129,-3436.7968631804943,0.29692665440686633
13,0.05008011311292648,69.63390170511535,79.7559344700769,2265,512,0.18437162405473534,0.18406822667150108,-3173.808514239585,0.2712013213289172
14,0.054818201810121536,73.49548645937813,80.59177532597793,2368,563,0.19208461276015013,0.19166672921007866,-3099.1684454496276,0.2510096929752902
15,0.051777370274066925,75.05015045135406,80.38281511200267,2379,614,0.20514533912462413,0.20465219319831165,-2916.069844355002,0.23121165226366536
16,0.03910404071211815,77.40722166499498,80.8007355399532,2453,634,0.20537738905085845,0.20493259906465106,-2724.1190937358997,0.20938234299188724
17,0.052891723811626434,78.3099297893681,80.3995319291207,2450,673,0.21549791866794749,0.21512053943125622,-2607.6642214007175,0.1981642948392929
18,0.029834549874067307,79.26278836509529,80.75894349715814,2484,677,0.21417273014868712,0.21354542694558662,-2479.8077380499512,0.1862135106477199
19,0.02364092692732811,81.67001003009027,80.4831160147108,2525,732,0.22474669941664108,0.22426162063722785,-2164.634745966617,0.15773493494883944
20,0.05183256417512894,83.60080240722166,80.81745235707122,2573,761,0.22825434913017398,0.22761955547874463,-2148.772730908608,0.15297801896063307
21,0.020016422495245934,83.9518555667001,80.60849214309596,2565,783,0.23387096774193547,0.23340541813758334,-2014.4968133661023,0.14283325928453167
22,0.02049906551837921,86.15847542627884,80.53326646606486,2600,836,0.24330616996507567,0.24259197952432696,-1848.869620476333,0.12778529577608902
23,0.016301320865750313,86.55967903711134,80.63356736877299,2614,838,0.24275782155272305,0.24221325726709855,-1801.2744124128894,0.12385241853224874
24,0.03731868788599968,86.6098294884654,80.41624874623872,2603,851,0.24638100752750433,0.24592626993086492,-1674.6036285526102,0.11510488876030575
25,0.018556267023086548,88.59077231695085,80.52490805750585,2650,883,0.24992923860741578,0.24934162686774208,-1551.2540585843742,0.10427039248066776
26,0.007232618518173695,88.03911735205617,80.41624874623872,2636,875,0.24921674736542296,0.24874288318581816,-1649.6251563668352,0.11158078853872315
27,0.04252449423074722,89.34302908726178,80.34102306920762,2655,908,0.25484142576480495,0.25416289374761186,-1457.7160393728873,0.0971614679277326
28,0.01913275197148323,89.84453360080241,80.25743898361752,2656,927,0.25872174155735417,0.2582456847891307,-1442.5825510990096,0.09557973589479808
29,0.011651690118014812,90.49648946840522,80.43296556335673,2685,924,0.25602660016625106,0.2553809037034461,-1312.597699384528,0.08638113850590011
30,0.00522473594173789,90.6469408224674,80.20728853226346,2667,948,0.26224066390041495,0.26155234177902736,-1289.613365351523,0.08471017488222385
