epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.202951580286026,23.771313941825476,2.7833500501504513,93,855,0.9018987341772152,0.9017837724139807,-2878.7761803463377,0.7109451771976896
2,0.12843483686447144,35.45636910732197,18.254764292878637,665,749,0.5297029702970297,0.5304347473436027,-3593.784755101279,0.5999258991817573
3,0.14088791608810425,43.80641925777332,34.72918756268806,1328,419,0.23983972524327418,0.24060918525634947,-3842.839299045424,0.521136569800465
4,0.09711156040430069,57.8234704112337,54.81444332998997,2164,142,0.06157849089332177,0.06162033018155757,-3313.780373922995,0.3414527332883923
5,0.07005161046981812,65.7221664994985,63.94182547642929,2540,81,0.030904235024799696,0.030778480461707048,-2936.217389277466,0.2663895354764525
6,0.14796176552772522,70.51153460381144,69.05717151454363,2737,75,0.02667140825035562,0.02663006097892125,-2782.2492868424515,0.23519919950188137
7,0.11614527553319931,74.22266800401204,73.04413239719158,2895,65,0.02195945945945946,0.021974297044681908,-2677.1131613967855,0.2149249264021806
8,0.06311222165822983,76.78034102306921,75.45135406218655,2999,63,0.020574787720444153,0.020458058152694965,-2477.054732271342,0.1922872953763207
9,0.08708561956882477,78.48545636910733,77.23169508525577,3074,56,0.017891373801916934,0.017754522920802623,-2240.3636353366687,0.1701988941874172
10,0.07324882596731186,82.87362086258776,81.3691073219659,3240,65,0.019667170953101363,0.019479563682181563,-2146.6576736020374,0.1543836597051445
11,0.101338230073452,83.80140421263792,82.09628886659979,3270,72,0.02154398563734291,0.021373271100641498,-1933.4584463427082,0.13751118858397793
12,0.07392837107181549,86.65997993981946,85.28084252758275,3397,59,0.01707175925925926,0.017041613307677842,-1847.0369899399104,0.1270166697411118
13,0.023691188544034958,88.74122367101305,86.8605817452357,3460,79,0.022322690025430914,0.022181198385059823,-1548.4409386161583,0.1040044947581112
14,0.0064127943478524685,90.82246740220663,88.61584754262789,3532,90,0.02484815019326339,0.024723296751594213,-1455.447457837613,0.0955093751979726
15,0.047599129378795624,91.47442326980944,89.31795386158475,3561,87,0.023848684210526317,0.023734335468610562,-1273.9306660348327,0.08298443686139383
16,0.0072537995874881744,92.82848545636911,90.74724172517553,3614,88,0.02377093462992977,0.02361471571002626,-1175.1239499248982,0.0754336813974394
17,0.01743186078965664,93.35506519558676,91.17352056168505,3635,88,0.0236368520010744,0.023407988822130684,-1086.6150155144867,0.06935730876104801
18,0.03442416712641716,94.90972918756269,92.30190571715146,3681,104,0.027476882430647293,0.02728188989247548,-934.4210020231025,0.05865580337339483
19,0.011379150673747063,95.0852557673019,92.62788365095285,3694,98,0.025843881856540084,0.02563537259055093,-885.5213362619479,0.05548602796325728
20,0.028934601694345474,93.98194583751254,91.49949849548646,3649,99,0.02641408751334045,0.02626928834766315,-814.151156816914,0.05160346591970661
21,0.009508240967988968,94.4332998996991,91.95085255767302,3667,99,0.02628783855549655,0.026076618201100868,-761.1082377696258,0.04802519802049715
22,0.02316042222082615,96.11334002006018,93.60581745235707,3730,103,0.026871901904513436,0.02665484342786028,-664.1395520949858,0.041174438918066686
23,0.004976364783942699,96.58976930792377,94.1073219658977,3753,99,0.02570093457943925,0.025513704897001638,-653.7198625248081,0.0403230536670439
24,0.010714573785662651,95.76228686058174,93.25476429287863,3719,100,0.026184865147944488,0.026010155056653623,-559.9289088997341,0.03482977071714834
25,0.005639291368424892,96.76529588766299,94.15747241725175,3755,104,0.02694998704327546,0.026713763147600638,-556.9039637992953,0.03428510375319511
26,0.007853006944060326,97.46740220661987,94.70912738214643,3777,110,0.028299459737586827,0.02809523748011767,-479.91720582259205,0.029335220424361246
27,0.0035104036796838045,97.56770310932798,94.93480441323972,3786,105,0.026985350809560524,0.02680520961859328,-483.2093912058174,0.029507384487485088
28,0.013655466958880424,97.54262788365095,94.7592778335005,3779,111,0.02853470437017995,0.028320329337538305,-412.7019528683101,0.025204652669527004
29,0.002761088777333498,97.51755265797392,94.95987963891675,3787,102,0.026227822062226794,0.02596716210579708,-395.9620144699382,0.02419327444495412
30,0.005259777419269085,96.84052156469409,94.33299899699097,3762,100,0.02589331952356292,0.025624490926531483,-431.38947993708257,0.026538630914348386
