epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.0031756022945046425,98.965,0.685,401,19392,0.9797403122315971,0.9798343877919657,-105642.215395468,0.7753667168006063
2,0.0028208403382450342,99.44,1.1066666666666667,657,19231,0.9669650040225262,0.967128041175248,-74021.1857035986,0.5423603236787955
3,0.0003992602869402617,99.525,1.37,817,19088,0.9589550364230093,0.9591417055343533,-55998.16857074644,0.4102962940947466
4,0.0011830443982034922,99.625,1.58,945,18980,0.9525721455457967,0.9527994022264957,-50595.991488441825,0.370496037490577
5,0.0002991791698150337,99.695,1.53,918,19021,0.9539595767089624,0.9543094921663765,-42088.50689000749,0.3080805389009473
6,0.010101697407662868,99.735,1.6533333333333333,991,18956,0.950318343610568,0.9505706149887355,-41049.72712870668,0.300413739607629
7,0.020314233377575874,99.735,1.645,986,18961,0.9505690078708577,0.9507938353135261,-37993.61336933515,0.2780302686396027
8,0.0016709129558876157,99.78,1.7433333333333334,1044,18912,0.9476849067949489,0.9479162844871141,-37021.308388349134,0.2708270893134239
9,0.0002304236259078607,99.765,1.725,1033,18920,0.9482283365909888,0.9484600529824947,-34108.69575159184,0.24957392701452233
10,1.1079266187152825e-05,99.785,1.7133333333333334,1028,18929,0.9484892518915669,0.9487888679676788,-36378.91427057235,0.2661228572897329
11,0.006948837079107761,99.8,1.7666666666666666,1060,18900,0.9468937875751503,0.9471775398330058,-35926.456139699425,0.262798656671091
12,3.6344605177873746e-05,99.785,1.7133333333333334,1028,18929,0.9484892518915669,0.9487921725288722,-32860.634790241216,0.24037005780178505
13,3.4101416531484574e-05,99.835,1.735,1039,18928,0.9479641408323735,0.9482161433363644,-32077.590112044636,0.23459200677088093
14,0.0003935148997697979,99.82,1.745,1047,18917,0.9475556000801443,0.9478098582215594,-30721.69310273875,0.2246882184706468
15,0.01100914366543293,99.85,1.9366666666666668,1161,18809,0.9418627941912869,0.9421369549510227,-33483.17472691635,0.24483438249595604
16,0.00041135429637506604,99.85,1.73,1037,18933,0.9480721081622434,0.9483537421036412,-29033.964625899403,0.2123147347891759
17,5.797346602776088e-07,99.915,1.7166666666666666,1030,18953,0.9484561877595956,0.9487626476682279,-25225.013525053004,0.18437608941911576
18,9.932646207744256e-05,99.89,1.7366666666666666,1042,18936,0.9478426268895785,0.948153111492101,-24961.3412645078,0.18246541171527972
19,1.867976884284417e-09,99.915,1.7433333333333334,1046,18937,0.9476555071811039,0.9479595661856561,-23648.346215328686,0.17284067933627734
20,0.00016080350906122476,99.895,1.7266666666666666,1036,18943,0.948145552830472,0.9484920523490133,-24762.277075180646,0.18099530924714866
