epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.18517351150512695,26.957000732421875,54.29988974641676,69,420,0.8588957055214724,0.9763616078543287,-191.8250861589053,0.5451507675395304
2,0.29594433307647705,51.04740905761719,48.015435501653805,78,848,0.9157667386609071,0.9938732657617656,-356.28759331108165,0.3499143644810477
3,0.053130779415369034,65.38037109375,48.30944505696435,83,1103,0.9300168634064081,0.9915716646630687,-435.1865326833865,0.2785083316123848
4,0.12891758978366852,71.94046020507812,49.430356486585815,86,1219,0.9340996168582375,0.9867070809097326,-535.440287973433,0.2751324871013877
5,0.15474385023117065,78.94156646728516,49.320102903344356,81,1351,0.9434357541899442,0.9926703950729487,-569.8497108462897,0.2510754188431966
6,0.040003787726163864,84.67475128173828,49.4119808893789,79,1457,0.9485677083333334,0.9966686554080848,-555.5674525721269,0.22251005756516334
7,0.03144586458802223,87.81697845458984,48.58507901506799,80,1513,0.9497802887633396,0.9968472149093249,-502.0036449458767,0.19028060846223585
8,0.006800191476941109,89.80154418945312,49.705990444689455,88,1541,0.9459791282995703,0.9892705080153937,-491.72224491502647,0.17984903392817364
9,0.010172390379011631,92.39250183105469,49.393605292172,85,1591,0.9492840095465394,0.9934763103543389,-446.21999757912835,0.15554394023301352
10,0.03616960346698761,93.66041564941406,49.66923925027563,84,1615,0.9505591524426134,0.9945173143607517,-378.6094381043597,0.13020614602350072
11,0.019190872088074684,94.10143280029297,49.46710768099963,83,1624,0.9513766842413591,0.9955172363171465,-353.60675190502815,0.12036142804484647
12,0.01293486263602972,94.48731994628906,49.44873208379272,82,1632,0.9521586931155193,0.9953318147919199,-356.2839366777763,0.1199744765413441
13,0.024460263550281525,93.60529327392578,50.09187798603455,88,1610,0.9481743227326266,0.9889492373750886,-353.7772060176518,0.1200922710603508
14,0.011176343075931072,94.48731994628906,49.61411245865491,81,1633,0.9527421236872812,0.9952609780350823,-318.04462451255586,0.10700064851225212
15,0.0048099663108587265,97.46416473388672,49.90812201396545,83,1685,0.9530542986425339,0.9957596588611304,-282.1479652356958,0.09084450397835084
16,0.005913041532039642,98.56670379638672,49.66923925027563,87,1701,0.9513422818791947,0.9934136859175892,-228.37324837215996,0.07233374498156661
17,0.002301993779838085,98.8974609375,49.81624402793091,85,1709,0.9526198439241917,0.9947618395542147,-196.95127045499223,0.062015590121560764
18,0.0029190191999077797,98.56670379638672,49.63248805586181,84,1704,0.9530201342281879,0.9945178106276902,-180.10521416845722,0.056979003519238826
19,0.0017615280812606215,99.2833480834961,49.77949283351709,84,1717,0.9533592448639645,0.9952303407671157,-179.92211347147142,0.056276069091257826
20,0.008089461363852024,99.3384780883789,49.83461962513782,85,1717,0.9528301886792453,0.9942989151797875,-141.83984185040075,0.04432130929112239
