epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.17180389165878296,46.85777282714844,52.756339581036386,139,711,0.8364705882352941,0.8961790128796365,-1117.84698083844,0.8079857135447404
2,0.11800113320350647,79.93384552001953,48.015435501653805,100,1350,0.9310344827586207,0.9769880459210445,-1588.0618759822828,0.6049560617204485
3,0.0910349190235138,84.7298812866211,46.67401690554943,81,1456,0.9472999349381913,0.9929432622850825,-1243.4701479200407,0.4480656742841326
4,0.0726098045706749,86.60418701171875,45.681734656376335,73,1498,0.9535327816677276,0.9969236163072744,-1046.710966360713,0.36741955450812175
5,0.07865919172763824,88.91951751708984,45.71848585079015,78,1535,0.9516429014259145,0.9969968025900199,-936.8066120282807,0.32101758221113863
6,0.06492513418197632,90.24256134033203,45.406100698272695,80,1557,0.9511301160659743,0.997193647195289,-868.1992597899593,0.2929240109572077
7,0.07427813857793808,91.3450927734375,45.4244762954796,80,1577,0.9517199758599879,0.9967546880563215,-805.0200745813081,0.26922145172577483
8,0.07646188884973526,91.6207275390625,45.240720323410514,78,1584,0.9530685920577617,0.9969124026134559,-746.296169667698,0.24953951750122833
9,0.05212515965104103,92.5578842163086,44.98346196251378,82,1597,0.9511614055985705,0.9966459386580057,-709.162920351851,0.23433443098916978
10,0.07054539024829865,93.49504089355469,44.79970599044469,79,1617,0.9534198113207547,0.9977344857611518,-680.4421051653908,0.2223988383994804
