epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.18517352640628815,26.957000732421875,54.29988974641676,69,420,0.8588957055214724,0.9763616078543287,-191.82506538103027,0.5451507084905565
2,0.2959479093551636,51.04740905761719,48.015435501653805,78,848,0.9157667386609071,0.9938732657617656,-356.28869557403954,0.3499154470268608
3,0.05286656320095062,65.38037109375,48.32782065417126,83,1103,0.9300168634064081,0.9915964315926051,-438.6767259561572,0.27991699755724253
4,0.1256399154663086,71.88533782958984,49.46710768099963,87,1217,0.933282208588957,0.9867091835777458,-534.0277643858333,0.2743632655771147
5,0.14508868753910065,79.60308837890625,49.264976111723634,82,1362,0.943213296398892,0.992732016032851,-579.2585564157558,0.25307527384627626
6,0.04014922305941582,84.1786117553711,49.24660051451672,80,1447,0.9476096922069417,0.9957832051311161,-525.5482545834677,0.21314657217901653
7,0.044090863317251205,86.87982177734375,48.658581403895624,79,1497,0.9498730964467005,0.997599313804291,-500.02300247260894,0.19242318919325307
8,0.006698803976178169,89.69129180908203,49.595736861447996,86,1541,0.9471419791026429,0.9918674250078997,-489.33406633283823,0.17941472705273634
9,0.014728182926774025,92.1719970703125,49.320102903344356,83,1589,0.9503588516746412,0.9949012856953113,-434.0032842384601,0.15202287381178778
10,0.03478410467505455,92.94377136230469,49.375229694965086,81,1605,0.9519572953736655,0.9966110961312328,-381.1152496096719,0.13309510386328563
11,0.0212403517216444,94.04630279541016,49.30172730613745,80,1626,0.9531066822977726,0.9973972188169774,-392.84796242762036,0.13410470559269114
12,0.025094829499721527,95.03858947753906,49.430356486585815,82,1642,0.9524361948955916,0.9960471140026385,-353.4328944581754,0.11856237061514553
13,0.005573416128754616,95.53472900390625,49.55898566703418,84,1649,0.9515291402192729,0.9949325944696898,-331.81398722314066,0.11026361034833557
14,0.011924776248633862,96.36163330078125,49.46710768099963,82,1666,0.9530892448512586,0.9963665307063081,-327.98622570620864,0.10745624389746117
15,0.005596039816737175,97.46416473388672,49.66923925027563,82,1686,0.9536199095022625,0.9964203190086836,-280.9614028619157,0.0906871063359459
16,0.006693769712001085,98.40132141113281,49.595736861447996,82,1703,0.95406162464986,0.9964802730635082,-237.59549557696891,0.07540527549789362
17,0.002108910121023655,98.45645141601562,49.66923925027563,80,1706,0.9552071668533034,0.997145689123652,-234.13122326172638,0.07416376912007527
18,0.005703616421669722,98.56670379638672,49.72436604189636,82,1706,0.9541387024608501,0.995548916670764,-200.42539320764067,0.0633327137742161
19,0.0008497847011312842,99.22822570800781,49.72436604189636,83,1717,0.9538888888888889,0.9955882213775903,-176.94190856732152,0.05541840829319424
20,0.00992270465940237,99.5589828491211,49.63248805586181,79,1727,0.9562569213732004,0.9982722731329136,-145.46546100042488,0.04532309159082963
